STATION,NAME,DATE,SNWD,TAVG,TMAX,TMIN
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-10,,,23,20
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-11,,,22,6
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-12,,,21,-1
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-13,,,19,1
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-14,,,23,17
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-15,,,23,-3
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-16,,,18,0
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-17,,,42,13
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-18,,,47,35
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-19,,,40,13
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-20,,,45,24
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-21,,,40,28
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-22,,,28,13
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-23,,,26,2
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-24,,,14,0
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-25,,,39,4
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-26,,,38,29
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-27,,,34,23
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-28,,,33,24
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-01,,,36,27
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-02,,,36,13
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-03,,,32,22
