STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/26/1910,0,0,0,71,44
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/27/1910,0,0,0,75,50
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/28/1910,0.02,0,0,68,55
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/29/1910,0,0,0,56,45
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/30/1910,0,0,0,67,43
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/31/1910,0,0,0,70,47
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/1/1910,0,0,0,64,47
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/2/1910,0,0,0,62,37
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/3/1910,0.01,0,0,55,44
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/4/1910,0.01,0,0,58,47
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/5/1910,0.06,0,0,60,42
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/6/1910,0,0,0,63,44
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/7/1910,0,0,0,73,47
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/8/1910,0,0,0,72,54
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/9/1910,0,0,0,71,56
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/10/1910,0,0,0,78,49
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/11/1910,0,0,0,81,53
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/12/1910,0,0,0,83,60
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/13/1910,0,0,0,84,60
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/14/1910,0,0,0,86,62
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/15/1910,0,0,0,86,63
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/16/1910,0,0,0,90,67
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/17/1910,0,0,0,93,71
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/18/1910,0,0,0,89,71
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/19/1910,0,0,0,92,64
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/20/1910,0,0,0,96,68
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/21/1910,0,0,0,95,71
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/22/1910,0,0,0,96,70
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/23/1910,0,0,0,95,74
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/24/1910,0.13,0,0,95,74
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/25/1910,0.73,0,0,94,67
