Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/1920,-5,-10,0,0,8
1/2/1920,-5,-17,0,0,8
1/3/1920,2,-6,0.04,0.5,8
1/4/1920,8,-9,0,0,8
1/5/1920,23,4,0.6,3,11
1/6/1920,30,21,0.19,2,13
1/7/1920,27,15,T,0.4,13
1/8/1920,17,2,0,T,12
1/9/1920,19,-5,T,0,11
1/10/1920,29,17,T,T,10
1/11/1920,21,12,0,0,10
1/12/1920,39,13,0,0,9
1/13/1920,21,3,0,0,9
1/14/1920,6,-2,0.07,0.6,9
1/15/1920,11,4,0.16,1.8,11
1/16/1920,11,7,0.1,2.2,13
1/17/1920,7,-7,T,T,11
1/18/1920,3,-9,0.27,1,12
1/19/1920,9,-2,0.09,2,13
1/20/1920,14,-5,0.19,3.6,16
1/21/1920,7,-12,0,0,15
1/22/1920,10,0,T,T,15
1/23/1920,8,2,0.04,0.4,16
1/24/1920,4,-11,0.03,0.4,16
1/25/1920,17,-12,0.06,0.6,16
1/26/1920,37,1,T,T,14
1/27/1920,4,-8,0,0,14
1/28/1920,17,-7,0,0,14
1/29/1920,38,16,0,0,13
1/30/1920,24,3,0,0,13
1/31/1920,22,2,0,0,13
2/1/1920,35,21,0,0,13
2/2/1920,35,15,0,0,12
2/3/1920,23,10,0,0,12
2/4/1920,25,18,T,T,12
2/5/1920,30,24,0.14,2,14
2/6/1920,33,28,0.01,T,14
2/7/1920,34,26,T,T,14
2/8/1920,33,28,T,0,13
2/9/1920,34,21,T,T,12
2/10/1920,21,4,0,0,12
2/11/1920,16,8,T,T,12
2/12/1920,18,8,0.06,T,12
2/13/1920,24,-10,0.02,0.8,13
2/14/1920,-5,-16,0,0,13
2/15/1920,-2,-19,0,0,13
2/16/1920,26,-7,T,T,12
2/17/1920,25,12,0.05,0.6,13
2/18/1920,13,3,0,0,12
2/19/1920,24,3,T,T,12
2/20/1920,27,20,0,0,12
2/21/1920,27,18,0.05,0.5,13
2/22/1920,27,16,0.11,0.9,14
2/23/1920,25,14,T,T,13
2/24/1920,16,7,T,T,13
2/25/1920,15,1,0.01,0.1,13
2/26/1920,12,-4,0,0,13
2/27/1920,24,1,0.01,0,12
2/28/1920,19,6,T,0.1,12
2/29/1920,32,3,0,0,12
3/1/1920,33,16,0,0,12
3/2/1920,24,5,T,T,11
3/3/1920,20,12,0.45,3.2,14
3/4/1920,13,1,0.04,1.7,16
3/5/1920,11,-8,0,0,15
3/6/1920,6,-9,0,0,14
3/7/1920,18,-8,0,0,13
3/8/1920,24,15,0,0,12
3/9/1920,44,19,0,0,9
3/10/1920,48,29,0,0,6
3/11/1920,47,28,0.77,0,4
3/12/1920,30,20,T,T,4
3/13/1920,40,20,0,0,3
3/14/1920,44,31,0,0,2
3/15/1920,51,27,0.05,0,T
3/16/1920,27,9,0.09,2,2
3/17/1920,32,9,0,0,1
3/18/1920,39,27,0.48,0.6,1
3/19/1920,41,27,T,6.8,3
3/20/1920,41,25,0,0,1
3/21/1920,50,26,0,0,T
3/22/1920,68,39,0,0,T
3/23/1920,57,48,0.46,0,T
3/24/1920,60,34,0,0,T
3/25/1920,43,31,0,0,0
3/26/1920,54,32,0,0,0
3/27/1920,64,40,T,0,0
3/28/1920,57,27,0.37,T,T
3/29/1920,43,23,T,T,0
3/30/1920,64,32,0,0,0
3/31/1920,73,47,T,0,0
4/1/1920,50,23,0.13,0.1,T
4/2/1920,23,13,0.09,3.4,3
4/3/1920,30,11,0,T,1
4/4/1920,27,9,0,0,T
4/5/1920,33,17,0.14,T,T
4/6/1920,27,17,T,1.5,1
4/7/1920,31,20,T,T,T
4/8/1920,42,24,0,0,T
4/9/1920,47,25,0,0,T
4/10/1920,40,33,0.04,0.2,T
4/11/1920,48,28,0,0,T
4/12/1920,36,23,0,0,0
4/13/1920,47,26,0,0,0
4/14/1920,54,31,0,0,0
4/15/1920,50,35,0,0,0
4/16/1920,52,31,0,0,0
4/17/1920,52,34,0,0,0
4/18/1920,55,36,0,0,0
4/19/1920,48,39,0.16,0,0
4/20/1920,59,40,0.4,0,0
4/21/1920,69,47,0.01,0,0
4/22/1920,57,38,0.4,0,0
4/23/1920,53,40,0,0,0
4/24/1920,58,40,T,0,0
4/25/1920,52,44,0.34,0,0
4/26/1920,44,35,0.45,T,0
4/27/1920,50,30,0.07,0.3,0
4/28/1920,55,33,0,0,0
4/29/1920,58,43,T,0,0
4/30/1920,60,43,0,0,0
5/1/1920,58,38,0,0,0
5/2/1920,58,41,0,0,0
5/3/1920,61,37,0,0,0
5/4/1920,59,47,0,0,0
5/5/1920,67,45,0,0,0
5/6/1920,71,47,0,0,0
5/7/1920,73,52,T,0,0
5/8/1920,74,46,0,0,0
5/9/1920,77,57,0,0,0
5/10/1920,64,46,0.93,0,0
5/11/1920,62,45,0,0,0
5/12/1920,60,43,0,0,0
5/13/1920,55,36,0,0,0
5/14/1920,65,41,0,0,0
5/15/1920,71,47,0,0,0
5/16/1920,61,48,0.04,0,0
5/17/1920,55,46,0.01,0,0
5/18/1920,69,48,0.67,0,0
5/19/1920,75,50,0.45,0,0
5/20/1920,70,49,0,0,0
5/21/1920,78,57,0,0,0
5/22/1920,81,55,0.56,0,0
5/23/1920,71,51,0,0,0
5/24/1920,79,52,0,0,0
5/25/1920,84,62,0,0,0
5/26/1920,69,58,0.01,0,0
5/27/1920,69,46,0,0,0
5/28/1920,76,52,0,0,0
5/29/1920,77,57,0,0,0
5/30/1920,83,60,0,0,0
5/31/1920,82,63,0,0,0
6/1/1920,68,58,0.9,0,0
6/2/1920,64,50,0,0,0
6/3/1920,64,47,0,0,0
6/4/1920,62,49,0.38,0,0
6/5/1920,67,45,0,0,0
6/6/1920,73,55,0.04,0,0
6/7/1920,84,60,0,0,0
6/8/1920,89,63,0.43,0,0
6/9/1920,86,64,0,0,0
6/10/1920,83,66,T,0,0
6/11/1920,93,66,0,0,0
6/12/1920,93,72,0,0,0
6/13/1920,94,72,0,0,0
6/14/1920,80,68,0.62,0,0
6/15/1920,75,61,0.66,0,0
6/16/1920,67,51,0.44,0,0
6/17/1920,64,45,0,0,0
6/18/1920,72,50,0,0,0
6/19/1920,75,60,0,0,0
6/20/1920,72,59,T,0,0
6/21/1920,73,57,0.05,0,0
6/22/1920,66,51,0,0,0
6/23/1920,75,55,0,0,0
6/24/1920,81,58,T,0,0
6/25/1920,78,67,0.34,0,0
6/26/1920,86,66,0.78,0,0
6/27/1920,90,68,0.71,0,0
6/28/1920,80,67,2.33,0,0
6/29/1920,82,65,0,0,0
6/30/1920,85,66,0.75,0,0
7/1/1920,85,66,0,0,0
7/2/1920,84,68,0.03,0,0
7/3/1920,80,66,0,0,0
7/4/1920,78,61,0.33,0,0
7/5/1920,68,58,0.04,0,0
7/6/1920,70,57,0.23,0,0
7/7/1920,69,56,0,0,0
7/8/1920,76,58,0.29,0,0
7/9/1920,79,60,0,0,0
7/10/1920,83,62,0,0,0
7/11/1920,83,64,0,0,0
7/12/1920,84,67,0.11,0,0
7/13/1920,82,57,0.26,0,0
7/14/1920,78,55,0,0,0
7/15/1920,73,58,0,0,0
7/16/1920,76,56,0,0,0
7/17/1920,83,59,0.01,0,0
7/18/1920,72,55,0,0,0
7/19/1920,80,57,0,0,0
7/20/1920,86,69,T,0,0
7/21/1920,84,62,0,0,0
7/22/1920,92,68,0,0,0
7/23/1920,87,63,0,0,0
7/24/1920,74,58,0,0,0
7/25/1920,77,61,0,0,0
7/26/1920,80,61,0,0,0
7/27/1920,84,63,0,0,0
7/28/1920,90,65,T,0,0
7/29/1920,87,67,0,0,0
7/30/1920,84,64,0,0,0
7/31/1920,72,55,0,0,0
8/1/1920,74,53,0,0,0
8/2/1920,81,58,0,0,0
8/3/1920,83,62,0,0,0
8/4/1920,88,68,0.05,0,0
8/5/1920,86,66,0,0,0
8/6/1920,82,67,0,0,0
8/7/1920,77,60,0,0,0
8/8/1920,78,60,0.02,0,0
8/9/1920,87,61,0,0,0
8/10/1920,93,70,0,0,0
8/11/1920,82,66,0.05,0,0
8/12/1920,71,58,0,0,0
8/13/1920,74,51,0,0,0
8/14/1920,81,58,0,0,0
8/15/1920,85,60,0,0,0
8/16/1920,85,62,0,0,0
8/17/1920,89,64,0,0,0
8/18/1920,89,67,0,0,0
8/19/1920,80,68,0.17,0,0
8/20/1920,74,59,0.07,0,0
8/21/1920,68,50,0,0,0
8/22/1920,73,51,0,0,0
8/23/1920,77,52,0,0,0
8/24/1920,80,53,0,0,0
8/25/1920,81,56,0,0,0
8/26/1920,83,60,0,0,0
8/27/1920,81,60,0,0,0
8/28/1920,82,60,0,0,0
8/29/1920,70,59,0.78,0,0
8/30/1920,72,57,0,0,0
8/31/1920,79,59,0,0,0
9/1/1920,73,56,0.32,0,0
9/2/1920,69,54,T,0,0
9/3/1920,72,54,0,0,0
9/4/1920,59,54,0.19,0,0
9/5/1920,66,54,0.14,0,0
9/6/1920,75,52,0,0,0
9/7/1920,78,54,0,0,0
9/8/1920,78,57,0,0,0
9/9/1920,80,57,0,0,0
9/10/1920,79,60,0.36,0,0
9/11/1920,86,59,T,0,0
9/12/1920,75,56,0,0,0
9/13/1920,87,58,0,0,0
9/14/1920,90,65,0,0,0
9/15/1920,80,64,0,0,0
9/16/1920,77,55,0,0,0
9/17/1920,89,58,0,0,0
9/18/1920,86,62,0,0,0
