Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/2010,6,-9,T,T,9
1/2/2010,1,-15,0,0,9
1/3/2010,7,-14,0,0,9
1/4/2010,7,-10,0,0,9
1/5/2010,10,-9,0,0,9
1/6/2010,16,-4,0,0,9
1/7/2010,16,4,0.06,2.2,11
1/8/2010,8,-6,0,0,11
1/9/2010,6,-14,0,0,11
1/10/2010,15,-6,0,0,11
1/11/2010,22,8,T,T,10
1/12/2010,22,2,T,T,10
1/13/2010,28,19,T,T,10
1/14/2010,31,15,0,0,10
1/15/2010,28,12,0,0,10
1/16/2010,35,15,0,0,10
1/17/2010,34,20,0,0,10
1/18/2010,34,13,0,0,9
1/19/2010,23,13,T,T,9
1/20/2010,28,19,T,T,9
1/21/2010,30,25,0.05,T,9
1/22/2010,33,28,0.02,0,9
1/23/2010,36,32,0.23,T,9
1/24/2010,35,32,0.04,T,7
1/25/2010,34,16,0.05,0.9,6
1/26/2010,16,3,T,T,7
1/27/2010,11,2,T,T,7
1/28/2010,7,-2,T,T,7
1/29/2010,9,-5,0,0,7
1/30/2010,17,1,0,0,7
1/31/2010,16,3,0,0,7
2/1/2010,16,8,0.11,2.6,7
2/2/2010,21,8,0.02,0.5,10
2/3/2010,21,1,0,0,10
2/4/2010,29,19,0.07,1,10
2/5/2010,33,28,0.12,1.3,12
2/6/2010,28,19,0,0,11
2/7/2010,24,15,0.05,0.8,11
2/8/2010,25,22,0.23,4.7,12
2/9/2010,26,15,0.03,0.4,15
2/10/2010,24,3,0,0,16
2/11/2010,25,0,0,0,15
2/12/2010,25,3,T,T,15
2/13/2010,23,10,T,0.2,15
2/14/2010,24,5,0.09,1.6,15
2/15/2010,30,22,0.03,0.7,17
2/16/2010,34,17,0,0,17
2/17/2010,35,16,0,0,16
2/18/2010,37,10,0,0,15
2/19/2010,31,7,0,0,14
2/20/2010,35,18,T,T,13
2/21/2010,31,13,0,0,13
2/22/2010,32,14,0,0,13
2/23/2010,23,9,T,0.1,13
2/24/2010,20,1,0,0,13
2/25/2010,26,3,0,0,12
2/26/2010,32,5,0,0,12
2/27/2010,38,9,0,0,12
2/28/2010,38,16,0,0,12
3/1/2010,38,19,0,0,12
3/2/2010,42,19,0,0,11
3/3/2010,41,20,0,0,10
3/4/2010,39,20,0,0,10
3/5/2010,42,23,0,0,9
3/6/2010,41,24,T,0,8
3/7/2010,47,35,0.02,0,6
3/8/2010,37,34,T,0,4
3/9/2010,39,33,0.04,0,4
3/10/2010,42,35,0.27,0,2
3/11/2010,47,35,0.25,0,T
3/12/2010,43,38,0.03,0,T
3/13/2010,45,38,0,0,T
3/14/2010,64,40,0,0,0
3/15/2010,60,41,0,0,0
3/16/2010,50,40,0.08,0,0
3/17/2010,58,34,0,0,0
3/18/2010,64,39,0,0,0
3/19/2010,45,29,0,0,0
3/20/2010,39,23,0,0,0
3/21/2010,50,24,0,0,0
3/22/2010,55,30,0,0,0
3/23/2010,61,37,0,0,0
3/24/2010,55,31,0,0,0
3/25/2010,42,24,0,0,0
3/26/2010,51,25,0,0,0
3/27/2010,52,40,0,0,0
3/28/2010,52,33,0,0,0
3/29/2010,59,32,0,0,0
3/30/2010,75,46,0,0,0
3/31/2010,76,50,0,0,0
4/1/2010,81,50,0,0,0
4/2/2010,72,44,0.06,0,0
4/3/2010,61,39,0,0,0
4/4/2010,67,50,T,0,0
4/5/2010,60,43,0.01,0,0
4/6/2010,52,44,0.28,0,0
4/7/2010,56,39,0,0,0
4/8/2010,52,33,0,0,0
4/9/2010,67,32,0,0,0
4/10/2010,63,44,0,0,0
4/11/2010,69,38,0,0,0
4/12/2010,68,47,0,0,0
4/13/2010,69,46,0.73,0,0
4/14/2010,74,53,0.07,0,0
4/15/2010,71,54,0.56,0,0
4/16/2010,61,46,0,0,0
4/17/2010,65,40,0,0,0
