Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/1900,25,7,T,T,0
1/2/1900,28,6,0,0,0
1/3/1900,28,6,0,0,0
1/4/1900,35,24,0,0,0
1/5/1900,28,12,0,0,0
1/6/1900,49,23,0,0,0
1/7/1900,39,25,0,0,0
1/8/1900,45,20,T,0,0
1/9/1900,41,15,0.17,0,0
1/10/1900,23,10,0,0,0
1/11/1900,31,15,0.05,1,1
1/12/1900,21,10,0.02,0.2,1
1/13/1900,39,18,0.18,2,3
1/14/1900,35,24,T,0,2
1/15/1900,33,26,0.14,2,3
1/16/1900,30,23,T,T,3
1/17/1900,31,25,0,0,3
1/18/1900,34,23,0,0,2
1/19/1900,46,19,0,0,2
1/20/1900,42,30,0,0,1
1/21/1900,48,25,0,0,T
1/22/1900,51,36,0,0,T
1/23/1900,40,17,0,0,T
1/24/1900,37,2,0.01,0.2,T
1/25/1900,7,-5,T,T,T
1/26/1900,23,0,0,0,T
1/27/1900,20,-5,0.04,0.6,T
1/28/1900,1,-10,0.01,0.1,T
1/29/1900,25,-7,T,T,T
1/30/1900,-4,-15,0,0,T
1/31/1900,0,-9,0,0,T
2/1/1900,16,-8,T,T,T
2/2/1900,16,-2,T,T,T
2/3/1900,19,6,0.02,1.5,1
2/4/1900,18,-2,0,0,1
2/5/1900,19,4,0.02,0.5,1
2/6/1900,27,-3,0,0,1
2/7/1900,37,12,0,0,1
2/8/1900,30,-15,0,3.5,4
2/9/1900,1,-15,0,0,4
2/10/1900,20,-5,0.04,1.1,4
2/11/1900,35,20,0.2,2,6
2/12/1900,26,1,0,0,6
2/13/1900,1,-17,0,0,6
2/14/1900,5,-14,0,0,6
2/15/1900,1,-12,0,0,5
2/16/1900,8,-11,T,T,5
2/17/1900,16,-5,T,T,5
2/18/1900,10,-5,0,0,5
2/19/1900,26,7,0.01,0.2,4
2/20/1900,29,10,0,0,4
2/21/1900,32,16,0,0,4
2/22/1900,28,16,0,0,4
2/23/1900,28,-3,0.02,0.3,3
2/24/1900,4,-13,0,0,3
2/25/1900,7,-12,0,0,3
2/26/1900,14,-3,0,0,3
2/27/1900,23,10,T,T,3
2/28/1900,23,6,T,T,3
3/1/1900,29,15,T,T,2
3/2/1900,31,23,0.02,0.3,2
3/3/1900,41,19,T,T,1
3/4/1900,19,6,0.19,1,T
3/5/1900,18,8,0.07,1.2,2
3/6/1900,21,9,0.69,7,8
3/7/1900,37,1,0,0,7
3/8/1900,46,30,0,0,3
3/9/1900,40,20,0,0,2
3/10/1900,42,26,0,0,1
3/11/1900,40,25,0,0,T
3/12/1900,54,31,0,0,T
3/13/1900,34,19,0,0,T
3/14/1900,19,7,0,0,T
3/15/1900,8,-6,T,T,T
3/16/1900,8,-10,T,T,T
3/17/1900,23,2,0.03,0.5,T
3/18/1900,34,20,0.01,0.2,T
3/19/1900,26,13,T,T,T
3/20/1900,22,9,0,0,T
3/21/1900,48,10,0,0,T
3/22/1900,48,31,0,0,T
3/23/1900,35,20,0,0,T
3/24/1900,45,24,0,0,T
3/25/1900,36,27,0.35,3,3
3/26/1900,34,26,T,T,1
3/27/1900,43,16,0,0,T
3/28/1900,36,27,0,0,T
3/29/1900,40,30,0.14,3.5,1
3/30/1900,47,26,0,0,T
3/31/1900,48,28,0,0,T
4/1/1900,54,36,0,0,0
4/2/1900,56,34,0,0,0
4/3/1900,47,34,T,0,0
4/4/1900,55,29,0,0,0
4/5/1900,63,37,0,0,0
4/6/1900,76,48,0,0,0
4/7/1900,75,50,0,0,0
4/8/1900,59,44,0,0,0
4/9/1900,53,35,0,0,0
4/10/1900,44,26,0,0,0
4/11/1900,34,28,T,T,T
4/12/1900,50,27,0.15,1.5,0
4/13/1900,58,32,0,0,0
4/14/1900,59,36,0,0,0
4/15/1900,60,36,0,0,0
4/16/1900,49,44,0.45,0,0
4/17/1900,45,41,0.84,0,0
4/18/1900,63,39,0.21,0,0
4/19/1900,77,44,0,0,0
4/20/1900,76,50,0,0,0
4/21/1900,73,52,0,0,0
4/22/1900,73,51,0,0,0
4/23/1900,71,52,0,0,0
4/24/1900,67,52,0.02,0,0
4/25/1900,74,57,0,0,0
4/26/1900,76,54,T,0,0
4/27/1900,79,55,0.03,0,0
4/28/1900,81,60,0.01,0,0
4/29/1900,68,50,0.05,0,0
4/30/1900,74,43,0,0,0
5/1/1900,78,49,0,0,0
5/2/1900,64,41,0,0,0
5/3/1900,50,33,T,0,0
5/4/1900,57,34,0,0,0
5/5/1900,70,41,0,0,0
5/6/1900,74,49,0,0,0
5/7/1900,64,47,0.14,0,0
5/8/1900,61,51,0.12,0,0
5/9/1900,66,41,0,0,0
5/10/1900,83,46,0,0,0
5/11/1900,88,59,0,0,0
5/12/1900,90,60,0,0,0
5/13/1900,89,68,0,0,0
5/14/1900,80,65,0.16,0,0
5/15/1900,65,47,0,0,0
5/16/1900,62,39,0,0,0
5/17/1900,63,43,0,0,0
5/18/1900,63,38,0,0,0
5/19/1900,72,38,0,0,0
5/20/1900,81,50,0,0,0
5/21/1900,82,51,0,0,0
5/22/1900,79,59,0,0,0
5/23/1900,73,53,0,0,0
5/24/1900,81,57,0,0,0
5/25/1900,84,60,T,0,0
5/26/1900,85,57,0,0,0
5/27/1900,85,59,T,0,0
5/28/1900,70,51,0.01,0,0
5/29/1900,76,50,0,0,0
5/30/1900,80,58,0,0,0
5/31/1900,81,54,T,0,0
6/1/1900,77,51,0,0,0
6/2/1900,72,46,0,0,0
6/3/1900,78,51,T,0,0
6/4/1900,85,60,0.62,0,0
6/5/1900,83,60,0,0,0
6/6/1900,90,62,0,0,0
6/7/1900,74,60,T,0,0
6/8/1900,67,46,0,0,0
6/9/1900,73,55,0.37,0,0
6/10/1900,73,56,0.07,0,0
6/11/1900,74,49,0,0,0
6/12/1900,78,53,0,0,0
6/13/1900,75,57,0.4,0,0
6/14/1900,71,53,0,0,0
6/15/1900,79,56,0,0,0
6/16/1900,76,62,0,0,0
6/17/1900,83,57,0,0,0
6/18/1900,83,60,0,0,0
6/19/1900,80,58,0,0,0
6/20/1900,85,60,T,0,0
6/21/1900,86,61,0.74,0,0
6/22/1900,77,58,0,0,0
6/23/1900,86,57,0,0,0
6/24/1900,91,66,0,0,0
6/25/1900,94,69,0,0,0
6/26/1900,92,68,T,0,0
6/27/1900,88,65,0,0,0
6/28/1900,85,60,0,0,0
