Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/1940,7,-3,0,0,3
1/2/1940,9,-3,T,T,3
1/3/1940,10,-5,0,0,3
1/4/1940,-3,-8,T,T,3
1/5/1940,10,-7,0,0,3
1/6/1940,16,-5,0,0,3
1/7/1940,17,0,T,T,2
1/8/1940,21,2,T,0.2,3
1/9/1940,20,15,0.15,2.7,5
1/10/1940,27,15,0.01,T,5
1/11/1940,29,6,0.04,0.4,5
1/12/1940,19,-3,0,0,5
1/13/1940,22,15,0.02,0.1,5
1/14/1940,21,9,T,0.1,5
1/15/1940,9,-5,0.01,0,5
1/16/1940,-2,-8,0.07,0.6,6
1/17/1940,-7,-21,T,0.2,6
1/18/1940,2,-22,0.02,0.1,6
1/19/1940,15,1,0.02,0.3,6
1/20/1940,9,2,T,T,6
1/21/1940,15,2,0,0,6
1/22/1940,19,-3,T,T,5
1/23/1940,14,-1,0.02,0.1,6
1/24/1940,5,-12,0.01,0.2,5
1/25/1940,5,-12,T,T,5
1/26/1940,9,-3,T,T,5
1/27/1940,20,-10,0,0,5
1/28/1940,20,1,0,0,5
1/29/1940,19,7,0,0,5
1/30/1940,28,0,T,T,5
1/31/1940,35,18,T,0,4
2/1/1940,27,15,T,T,3
2/2/1940,33,5,0,T,3
2/3/1940,29,5,0.06,0.2,3
2/4/1940,30,23,T,0.6,4
2/5/1940,29,24,0,0,3
2/6/1940,26,13,T,T,3
2/7/1940,22,0,0,T,3
2/8/1940,19,3,0,0,3
2/9/1940,23,-10,0,0,3
2/10/1940,36,8,0,0,3
2/11/1940,33,20,0.28,0,2
2/12/1940,28,5,0.05,3.2,5
2/13/1940,21,-1,T,T,5
2/14/1940,31,12,0,0,5
2/15/1940,35,21,0,0,3
2/16/1940,35,32,0.08,0.3,3
2/17/1940,34,31,0,T,2
2/18/1940,35,31,0,0,1
2/19/1940,32,26,T,0,1
2/20/1940,31,26,T,T,1
2/21/1940,29,16,0.06,0.8,2
2/22/1940,16,7,T,0.1,2
2/23/1940,11,2,0.31,3.3,6
2/24/1940,5,-12,0,0,6
2/25/1940,16,-17,0.01,0,6
2/26/1940,29,10,0.01,0.2,6
2/27/1940,30,18,T,0,6
2/28/1940,27,14,0,0,5
2/29/1940,30,15,0.05,0.4,5
3/1/1940,32,26,T,T,4
3/2/1940,34,25,0,0,4
3/3/1940,36,19,0,0,2
3/4/1940,35,28,T,T,1
3/5/1940,34,30,T,0,1
3/6/1940,36,20,0,0,1
3/7/1940,38,25,0,0,1
3/8/1940,38,19,0,0,T
3/9/1940,30,20,0,0,T
3/10/1940,30,14,0,0,T
3/11/1940,23,12,0.14,0,T
3/12/1940,22,17,0.37,6.2,6
3/13/1940,21,15,0.59,9.4,16
3/14/1940,21,11,0.07,1.1,17
3/15/1940,37,2,0,0,11
3/16/1940,37,9,0,0,8
3/17/1940,46,25,T,0,3
3/18/1940,43,26,T,T,2
3/19/1940,33,19,0.28,3.7,5
3/20/1940,31,6,0,0.9,5
3/21/1940,21,3,T,T,5
3/22/1940,14,-4,0,0,5
3/23/1940,11,-3,0,0,5
3/24/1940,17,-1,0,0,5
3/25/1940,30,-5,0,0,3
3/26/1940,26,17,0.35,3.8,7
3/27/1940,36,20,0.01,0.5,5
3/28/1940,38,30,0.14,T,2
3/29/1940,41,33,0.21,T,T
3/30/1940,51,29,0,0,T
3/31/1940,41,28,0,0,0
4/1/1940,43,30,0,0,0
4/2/1940,41,35,0.27,0,0
4/3/1940,38,34,0.06,0,0
4/4/1940,38,32,0.01,T,0
4/5/1940,52,31,0,0,0
4/6/1940,59,30,0,0,0
4/7/1940,43,34,0.21,0,0
4/8/1940,47,34,T,0,0
4/9/1940,54,32,0.01,0,0
4/10/1940,44,24,0.13,0,0
4/11/1940,25,12,0,0,0
4/12/1940,40,20,0,0,0
4/13/1940,52,24,0,0,0
4/14/1940,70,33,0,0,0
4/15/1940,59,39,0,0,0
4/16/1940,52,35,0,0,0
4/17/1940,43,35,0.07,0,0
4/18/1940,64,30,0,0,0
4/19/1940,66,44,T,0,0
4/20/1940,64,47,T,0,0
4/21/1940,60,47,0,0,0
4/22/1940,66,41,T,0,0
4/23/1940,55,36,0,0,0
4/24/1940,51,34,0,0,0
4/25/1940,55,34,0,0,0
4/26/1940,61,34,0,0,0
4/27/1940,65,38,0,0,0
4/28/1940,77,52,0.16,0,0
4/29/1940,60,46,0.29,0,0
4/30/1940,46,33,T,T,0
5/1/1940,43,30,T,T,0
5/2/1940,59,35,0,0,0
5/3/1940,65,35,0,0,0
5/4/1940,65,40,0,0,0
5/5/1940,81,47,0,0,0
5/6/1940,70,42,0,0,0
5/7/1940,63,48,0.06,0,0
5/8/1940,64,46,0,0,0
5/9/1940,71,42,0.14,0,0
5/10/1940,66,49,0.07,0,0
5/11/1940,75,43,0,0,0
5/12/1940,87,61,T,0,0
5/13/1940,75,58,0.05,0,0
5/14/1940,58,35,0.63,0,0
5/15/1940,44,34,0.09,T,0
5/16/1940,63,40,0,0,0
5/17/1940,75,39,0,0,0
5/18/1940,62,51,0.17,0,0
5/19/1940,59,47,0.09,0,0
5/20/1940,75,44,0.02,0,0
5/21/1940,68,50,T,0,0
5/22/1940,68,50,0,0,0
5/23/1940,68,46,0,0,0
5/24/1940,60,48,0.01,0,0
5/25/1940,56,42,0.03,0,0
5/26/1940,62,46,0.13,0,0
5/27/1940,67,50,0.02,0,0
5/28/1940,63,51,0.13,0,0
5/29/1940,72,46,0,0,0
5/30/1940,81,48,0,0,0
