Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/1980,31,24,T,T,T
1/2/1980,26,13,T,T,T
1/3/1980,20,13,0.06,1.4,T
1/4/1980,26,20,0.06,1.1,T
1/5/1980,26,21,T,T,1
1/6/1980,32,11,0.31,4.1,3
1/7/1980,11,-5,0.01,0.1,5
1/8/1980,-2,-12,0,0,5
1/9/1980,2,-15,0,0,5
1/10/1980,43,1,T,0,5
1/11/1980,43,0,0.05,1.1,5
1/12/1980,30,-7,T,T,5
1/13/1980,48,24,0.06,0.2,4
1/14/1980,37,16,0,0,2
1/15/1980,38,33,0.11,0,1
1/16/1980,36,30,0.06,0.3,1
1/17/1980,30,26,T,T,T
1/18/1980,29,23,T,T,T
1/19/1980,31,18,T,T,T
1/20/1980,40,13,0,0,T
1/21/1980,35,17,T,T,T
1/22/1980,33,4,T,T,T
1/23/1980,10,-4,0.06,1.2,T
1/24/1980,26,9,0.14,2.7,3
1/25/1980,16,-6,T,T,4
1/26/1980,-1,-14,0,0,4
1/27/1980,4,-9,0,0,4
1/28/1980,6,-8,T,0.2,4
1/29/1980,2,-12,0,0,4
1/30/1980,10,-1,0.02,0.5,4
1/31/1980,12,-7,0,0,4
2/1/1980,13,-9,T,T,4
2/2/1980,18,0,0,0,4
2/3/1980,18,0,0,0,4
2/4/1980,21,1,0.12,2,4
2/5/1980,24,13,0.09,1.9,7
2/6/1980,27,4,0,0,6
2/7/1980,19,-4,T,0.1,6
2/8/1980,22,-4,T,T,6
2/9/1980,17,-4,T,0.1,6
2/10/1980,23,11,0.04,0.9,7
2/11/1980,23,4,T,T,7
2/12/1980,18,-4,0,0,7
2/13/1980,27,15,T,0.2,5
2/14/1980,21,10,T,0.1,5
2/15/1980,16,3,0.03,0.3,5
2/16/1980,13,-4,0,0,5
2/17/1980,21,-7,0,0,5
2/18/1980,33,15,T,T,5
2/19/1980,35,31,0.18,0.7,5
2/20/1980,38,34,T,0,3
2/21/1980,37,34,0.03,T,2
2/22/1980,36,25,0.05,0.5,2
2/23/1980,29,15,T,T,2
2/24/1980,29,17,T,T,2
2/25/1980,18,3,T,T,1
2/26/1980,36,1,0,0,1
2/27/1980,22,12,0.13,2,1
2/28/1980,16,2,T,T,3
2/29/1980,10,-9,0,0,3
3/1/1980,15,-3,0,0,3
3/2/1980,28,1,0,0,2
3/3/1980,34,16,0,0,2
3/4/1980,26,7,0.03,0.5,1
3/5/1980,17,-1,0,0,2
3/6/1980,23,6,0.09,2.4,2
3/7/1980,25,2,T,T,4
3/8/1980,33,5,0,0,4
3/9/1980,39,14,0.06,0.9,3
3/10/1980,37,7,0.02,0.3,3
3/11/1980,20,1,T,T,3
3/12/1980,32,16,0.05,1.1,3
3/13/1980,33,19,0.21,2.5,6
3/14/1980,35,9,0,0,5
3/15/1980,44,26,0,0,5
3/16/1980,43,25,0.24,0.1,3
3/17/1980,34,19,0,0,1
3/18/1980,46,23,0,0,1
3/19/1980,55,39,0,0,T
3/20/1980,45,30,0,0,T
3/21/1980,36,22,0,0,T
3/22/1980,28,24,0.18,2.8,0
3/23/1980,36,27,0.06,1.4,4
3/24/1980,38,24,T,T,T
3/25/1980,43,18,0,0,T
3/26/1980,45,28,0.01,T,T
3/27/1980,39,33,0.17,1.7,1
3/28/1980,42,36,0,0,T
3/29/1980,49,31,0,0,0
3/30/1980,51,29,0,0,0
3/31/1980,56,27,0,0,0
4/1/1980,51,33,0,0,0
4/2/1980,60,28,0,0,0
4/3/1980,46,34,0.09,0.9,0
4/4/1980,55,29,0,0,0
4/5/1980,62,30,0,0,0
4/6/1980,64,44,0.03,0,0
4/7/1980,56,42,0.04,0,0
4/8/1980,42,32,0.48,5,0
4/9/1980,32,28,0.19,2.6,4
4/10/1980,36,27,T,T,6
4/11/1980,45,24,0,0,4
4/12/1980,46,29,0,0,1
4/13/1980,38,28,T,T,T
4/14/1980,54,24,0,0,T
4/15/1980,57,38,T,0,0
4/16/1980,62,34,0,0,0
4/17/1980,72,39,0,0,0
4/18/1980,75,44,0,0,0
4/19/1980,80,50,0,0,0
4/20/1980,83,45,0,0,0
4/21/1980,95,52,0,0,0
4/22/1980,90,53,0,0,0
4/23/1980,64,42,0,0,0
4/24/1980,60,31,0,0,0
4/25/1980,57,41,T,0,0
4/26/1980,58,47,0,0,0
4/27/1980,74,42,0,0,0
4/28/1980,69,39,0,0,0
4/29/1980,69,44,T,0,0
4/30/1980,79,49,0,0,0
5/1/1980,80,47,0,0,0
5/2/1980,81,48,0,0,0
5/3/1980,88,46,0,0,0
5/4/1980,88,54,0,0,0
5/5/1980,74,52,T,0,0
5/6/1980,61,42,0,0,0
5/7/1980,50,37,0,0,0
5/8/1980,60,41,0,0,0
5/9/1980,71,36,T,0,0
5/10/1980,65,44,0.14,0,0
5/11/1980,60,38,0,0,0
5/12/1980,66,38,0.1,0,0
5/13/1980,56,43,0.03,0,0
5/14/1980,61,39,T,0,0
5/15/1980,65,31,0,0,0
5/16/1980,68,45,T,0,0
5/17/1980,59,51,0.57,0,0
5/18/1980,63,47,0.03,0,0
5/19/1980,78,42,0,0,0
5/20/1980,80,49,0,0,0
5/21/1980,83,53,0,0,0
5/22/1980,86,57,0,0,0
5/23/1980,85,58,0,0,0
5/24/1980,84,58,0,0,0
5/25/1980,87,63,0,0,0
5/26/1980,86,66,0,0,0
5/27/1980,88,64,0,0,0
5/28/1980,93,62,0.01,0,0
5/29/1980,80,62,1.2,0,0
5/30/1980,67,59,0.21,0,0
5/31/1980,76,52,T,0,0
6/1/1980,72,58,0.93,0,0
6/2/1980,71,52,T,0,0
6/3/1980,80,51,0,0,0
6/4/1980,80,62,0.06,0,0
6/5/1980,80,59,2.53,0,0
6/6/1980,81,58,0,0,0
6/7/1980,72,54,1.39,0,0
6/8/1980,71,45,0,0,0
6/9/1980,78,57,T,0,0
6/10/1980,72,49,0,0,0
6/11/1980,81,51,0,0,0
6/12/1980,78,61,0.36,0,0
6/13/1980,81,63,T,0,0
6/14/1980,85,60,0,0,0
6/15/1980,69,51,0,0,0
6/16/1980,73,46,0,0,0
6/17/1980,82,55,0,0,0
6/18/1980,79,54,0.24,0,0
6/19/1980,73,50,0,0,0
6/20/1980,76,51,T,0,0
6/21/1980,88,58,0,0,0
6/22/1980,86,65,0,0,0
6/23/1980,88,65,0,0,0
6/24/1980,79,67,0,0,0
6/25/1980,92,64,0,0,0
6/26/1980,88,72,0,0,0
6/27/1980,73,60,0.01,0,0
6/28/1980,83,55,0,0,0
6/29/1980,67,54,0,0,0
6/30/1980,82,49,0,0,0
7/1/1980,80,61,0,0,0
7/2/1980,80,51,0,0,0
7/3/1980,86,55,0,0,0
7/4/1980,90,62,T,0,0
7/5/1980,79,64,0,0,0
7/6/1980,87,60,0,0,0
7/7/1980,98,72,0,0,0
7/8/1980,84,62,0,0,0
7/9/1980,91,65,0,0,0
7/10/1980,98,67,0,0,0
7/11/1980,100,72,0.3,0,0
7/12/1980,92,69,0,0,0
7/13/1980,92,66,T,0,0
7/14/1980,99,79,0.02,0,0
