Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/1960,29,27,0.31,3.7,T
1/2/1960,32,15,0.17,2.9,6
1/3/1960,15,-11,T,T,7
1/4/1960,9,-15,0.01,0.1,7
1/5/1960,14,-19,0.01,0.2,7
1/6/1960,32,10,T,T,5
1/7/1960,36,23,0.03,0.3,5
1/8/1960,26,0,0,0,4
1/9/1960,32,13,0,0,4
1/10/1960,27,12,T,T,3
1/11/1960,35,10,0.01,T,3
1/12/1960,37,33,0.01,0,2
1/13/1960,36,34,T,0,2
1/14/1960,34,20,T,0,1
1/15/1960,21,10,0,0,1
1/16/1960,26,9,0,0,1
1/17/1960,27,10,0,0,1
1/18/1960,24,12,T,0.1,1
1/19/1960,19,8,T,0.1,1
1/20/1960,13,2,T,T,1
1/21/1960,14,1,T,T,1
1/22/1960,13,1,0,0,1
1/23/1960,17,2,T,T,1
1/24/1960,26,8,0.04,0.9,1
1/25/1960,23,5,T,T,2
1/26/1960,11,4,0.08,1.1,2
1/27/1960,24,8,T,T,3
1/28/1960,27,23,0.01,0.1,3
1/29/1960,31,21,0,0,3
1/30/1960,31,16,0,0,3
1/31/1960,33,16,0,0,2
2/1/1960,32,25,0,0,2
2/2/1960,29,21,0,0,1
2/3/1960,36,24,0,0,1
2/4/1960,36,18,0,0,T
2/5/1960,38,31,T,T,T
2/6/1960,34,22,T,T,T
2/7/1960,30,12,T,T,T
2/8/1960,39,15,0,0,T
2/9/1960,23,11,0,0,T
2/10/1960,23,9,T,T,T
2/11/1960,16,1,0,0,T
2/12/1960,19,0,0,0,T
2/13/1960,28,0,0,0,T
2/14/1960,30,8,T,T,T
2/15/1960,42,20,0,0,T
2/16/1960,32,20,0.05,0.5,T
2/17/1960,23,9,0.01,0.2,1
2/18/1960,17,0,0.01,0.1,1
2/19/1960,12,-7,0,0,1
2/20/1960,18,1,0.08,0.9,1
2/21/1960,21,13,0.07,1,2
2/22/1960,23,11,T,T,3
2/23/1960,23,1,T,T,3
2/24/1960,24,-1,0,0,2
2/25/1960,25,6,T,T,2
2/26/1960,20,10,T,T,2
2/27/1960,23,-4,0,0,2
2/28/1960,19,6,T,T,2
2/29/1960,16,-3,T,T,2
3/1/1960,14,-2,0,0,2
3/2/1960,15,1,0.01,0.4,2
3/3/1960,15,4,0.02,0.3,2
3/4/1960,9,-10,T,T,2
3/5/1960,13,-14,0,0,2
3/6/1960,14,-7,0.03,0.5,2
3/7/1960,20,-16,T,T,2
3/8/1960,23,1,0,0,2
3/9/1960,25,15,0.11,1.3,2
