Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/1930,35,31,0,0,0
1/2/1930,32,7,T,T,0
1/3/1930,24,1,0,T,0
1/4/1930,36,20,0,0,0
1/5/1930,40,32,0,0,0
1/6/1930,36,-8,T,T,0
1/7/1930,4,-9,0,T,0
1/8/1930,4,-6,0,0,0
1/9/1930,4,-12,0,0,0
1/10/1930,17,-9,0,0,0
1/11/1930,21,12,0.47,1.4,1
1/12/1930,22,0,T,4.1,6
1/13/1930,14,-4,0.08,1,7
1/14/1930,18,2,0.32,3,9
1/15/1930,7,-3,T,0.4,10
1/16/1930,-3,-12,0.02,T,10
1/17/1930,-8,-20,0.01,0.4,10
1/18/1930,10,-17,T,T,9
1/19/1930,5,-5,0,0,8
1/20/1930,-2,-11,T,T,7
1/21/1930,-1,-16,0,0,7
1/22/1930,3,-11,0,0,7
1/23/1930,16,-6,0.01,0.1,7
1/24/1930,20,5,T,T,6
1/25/1930,12,-15,0,0,6
1/26/1930,17,-6,0.03,0.5,7
1/27/1930,19,5,0.01,0.1,7
1/28/1930,12,2,0,0,7
1/29/1930,20,-4,0,0,7
1/30/1930,19,7,T,0,7
1/31/1930,18,12,T,T,7
2/1/1930,24,12,T,0,6
2/2/1930,36,18,0.08,0.8,6
2/3/1930,34,25,T,0,6
2/4/1930,31,19,T,T,6
2/5/1930,26,12,0.04,T,6
2/6/1930,31,24,0,0.4,6
2/7/1930,35,17,0,0,5
2/8/1930,37,15,T,0,4
2/9/1930,37,17,0.01,0.1,3
2/10/1930,22,5,0,0,3
2/11/1930,40,20,0,0,2
2/12/1930,35,20,0.01,0.1,2
2/13/1930,24,-1,0.05,0.5,3
2/14/1930,6,-8,0,0,3
2/15/1930,11,-12,0.02,0.1,3
2/16/1930,19,6,T,0.1,3
2/17/1930,38,19,0.06,0.6,2
2/18/1930,50,27,0,0,T
2/19/1930,54,40,0,0,0
2/20/1930,54,32,0,0,0
2/21/1930,59,44,T,0,0
2/22/1930,57,38,0,0,0
2/23/1930,53,32,0,0,0
2/24/1930,49,40,1.9,0,0
2/25/1930,43,24,0.29,T,0
2/26/1930,26,20,0.01,0.1,T
2/27/1930,27,13,0,T,0
2/28/1930,37,20,0.19,2,2
3/1/1930,20,4,0.03,0.5,3
3/2/1930,20,-2,T,T,2
3/3/1930,32,14,0,T,1
3/4/1930,38,20,0,0,0
3/5/1930,35,18,0,0,0
3/6/1930,43,29,T,T,0
3/7/1930,39,25,T,T,0
3/8/1930,42,20,0,0,0
3/9/1930,51,33,0,0,0
3/10/1930,40,33,T,T,0
3/11/1930,42,32,T,T,0
3/12/1930,55,31,0,0,0
3/13/1930,33,17,0,0,0
3/14/1930,41,28,T,T,0
3/15/1930,62,35,0.14,T,0
3/16/1930,71,37,T,0,0
3/17/1930,38,26,0,0,0
3/18/1930,32,19,T,T,0
3/19/1930,54,23,0,0,0
3/20/1930,44,11,T,T,0
3/21/1930,32,9,0,0,0
3/22/1930,44,28,0.2,0,0
3/23/1930,43,33,0.1,1.2,0
3/24/1930,34,26,0.01,0.1,0
3/25/1930,35,22,0,0,0
3/26/1930,33,19,T,T,0
3/27/1930,37,20,0,0,0
3/28/1930,37,21,0,0,0
3/29/1930,39,25,0,0,0
3/30/1930,52,28,0,0,0
3/31/1930,36,23,T,T,0
4/1/1930,49,22,0,0,0
4/2/1930,61,35,0,0,0
4/3/1930,60,35,0,0,0
4/4/1930,79,40,0,0,0
4/5/1930,64,45,T,0,0
4/6/1930,65,38,0,0,0
4/7/1930,54,35,0,0,0
4/8/1930,64,37,0,0,0
4/9/1930,81,47,0,0,0
4/10/1930,76,53,0,0,0
4/11/1930,69,51,0.13,0,0
