Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/1970,24,15,0.01,0.4,19
1/2/1970,19,-6,0.01,0.1,19
1/3/1970,10,-9,T,0.1,19
1/4/1970,12,-15,0.02,0.8,20
1/5/1970,0,-15,T,T,19
1/6/1970,-1,-19,T,T,18
1/7/1970,-3,-14,T,T,17
1/8/1970,3,-16,T,T,17
1/9/1970,6,-9,0,0,17
1/10/1970,19,-11,T,T,17
1/11/1970,25,4,T,T,16
1/12/1970,13,-5,0,0,16
1/13/1970,9,2,0.05,1,16
1/14/1970,17,9,0.01,0.1,17
1/15/1970,28,17,T,T,17
1/16/1970,24,-3,0.11,2,17
1/17/1970,-3,-19,0.05,2,20
1/18/1970,-13,-28,0,0,20
1/19/1970,-10,-34,0,0,20
1/20/1970,-10,-24,0,0,20
1/21/1970,-3,-29,T,T,20
1/22/1970,17,-3,0.03,1.5,20
1/23/1970,15,-8,T,T,21
1/24/1970,29,13,0,0,21
1/25/1970,32,18,0.1,0.8,20
1/26/1970,31,15,0.06,0.8,21
1/27/1970,34,4,0.01,T,21
1/28/1970,37,29,0.01,0,20
1/29/1970,29,11,T,0.2,19
1/30/1970,29,5,T,T,18
1/31/1970,33,16,0,0,18
2/1/1970,36,5,T,T,17
2/2/1970,5,-15,T,T,16
2/3/1970,-5,-21,0.02,0.4,16
2/4/1970,23,-5,0.07,1.2,15
2/5/1970,28,-2,T,T,16
2/6/1970,34,11,0,0,16
2/7/1970,40,29,0,0,15
2/8/1970,32,19,0,0,15
2/9/1970,27,14,0,0,14
2/10/1970,32,21,0,0,14
2/11/1970,28,11,T,0.1,14
2/12/1970,18,3,0.04,1.1,14
2/13/1970,8,-12,0,0,16
2/14/1970,9,-15,T,T,16
2/15/1970,15,-5,0.02,0.9,16
2/16/1970,31,-5,0,0,16
2/17/1970,38,15,0,0,16
2/18/1970,36,1,0,0,14
2/19/1970,14,-5,T,T,14
2/20/1970,28,-9,T,T,14
2/21/1970,39,17,0,0,14
2/22/1970,39,22,0,0,12
2/23/1970,38,15,0,0,10
2/24/1970,31,13,0,0,10
2/25/1970,15,2,0,0,9
2/26/1970,35,15,T,0.1,9
2/27/1970,22,11,T,0.1,9
2/28/1970,27,6,0.01,0.4,9
3/1/1970,30,24,T,T,9
3/2/1970,34,30,0.05,T,9
3/3/1970,39,26,1.19,0,7
3/4/1970,31,18,0,0,6
3/5/1970,35,18,0.31,2.4,6
3/6/1970,31,12,0,0,8
3/7/1970,30,17,0,0,8
3/8/1970,21,14,T,T,8
3/9/1970,29,11,0,0,8
3/10/1970,30,19,0,0,8
3/11/1970,32,8,0,0,8
3/12/1970,26,12,0,0,8
3/13/1970,27,15,T,T,8
3/14/1970,28,16,0,0,8
3/15/1970,29,11,0,0,7
3/16/1970,33,11,0,0,6
3/17/1970,38,18,0,0,5
3/18/1970,43,23,0,0,4
3/19/1970,38,28,0.39,3.7,2
3/20/1970,40,25,0.07,1.3,6
3/21/1970,39,19,0,0,3
3/22/1970,39,21,0,0,2
3/23/1970,37,25,T,T,1
3/24/1970,43,19,0,0,1
3/25/1970,44,29,0,0,1
3/26/1970,35,23,T,T,T
3/27/1970,28,12,0.03,0.8,1
3/28/1970,25,11,T,T,T
3/29/1970,37,16,0.01,0.4,T
3/30/1970,32,22,T,T,T
3/31/1970,39,17,0,0,T
4/1/1970,34,23,0,0,T
4/2/1970,40,15,T,T,T
4/3/1970,40,29,T,T,T
4/4/1970,43,18,0,0,T
4/5/1970,49,39,0.03,0,T
4/6/1970,48,31,0,0,0
4/7/1970,73,32,0,0,0
4/8/1970,62,44,0,0,0
4/9/1970,50,33,0,0,0
4/10/1970,50,27,0,0,0
4/11/1970,54,37,0,0,0
4/12/1970,44,34,0.17,T,0
4/13/1970,42,33,0.17,0.8,0
4/14/1970,58,36,0,0,0
4/15/1970,53,43,0.11,0,0
4/16/1970,57,33,0,0,0
4/17/1970,52,38,0,0,0
4/18/1970,49,39,0.01,0,0
4/19/1970,42,37,1.27,T,0
4/20/1970,41,34,0.1,0.5,T
4/21/1970,46,34,T,T,0
4/22/1970,49,31,0.31,T,0
4/23/1970,60,33,0,0,0
4/24/1970,67,37,T,0,0
4/25/1970,77,40,0,0,0
4/26/1970,85,49,0,0,0
4/27/1970,85,57,0,0,0
4/28/1970,75,61,0.14,0,0
4/29/1970,90,52,0.99,0,0
4/30/1970,58,43,0.25,0,0
5/1/1970,43,36,0.42,T,0
5/2/1970,59,33,0,0,0
5/3/1970,70,43,0.01,0,0
5/4/1970,67,43,T,0,0
5/5/1970,58,42,0,0,0
5/6/1970,66,36,T,0,0
5/7/1970,85,51,0,0,0
5/8/1970,86,59,0,0,0
5/9/1970,62,44,0.29,0,0
5/10/1970,60,42,T,0,0
5/11/1970,57,42,T,0,0
5/12/1970,64,44,T,0,0
5/13/1970,67,43,0.07,0,0
5/14/1970,51,46,0.22,0,0
5/15/1970,50,45,0.01,0,0
5/16/1970,66,44,T,0,0
5/17/1970,75,42,0,0,0
5/18/1970,90,62,0,0,0
5/19/1970,75,57,0.06,0,0
5/20/1970,90,63,0,0,0
5/21/1970,79,60,0.05,0,0
5/22/1970,65,54,1.05,0,0
5/23/1970,66,59,0.09,0,0
5/24/1970,76,61,0.29,0,0
5/25/1970,65,44,0.01,0,0
5/26/1970,62,42,0,0,0
5/27/1970,54,43,0.99,0,0
5/28/1970,78,49,0.08,0,0
5/29/1970,77,63,0.36,0,0
5/30/1970,74,61,0.04,0,0
5/31/1970,73,60,0.73,0,0
6/1/1970,69,59,T,0,0
6/2/1970,73,53,0,0,0
6/3/1970,73,52,0,0,0
6/4/1970,81,49,0,0,0
6/5/1970,81,60,0,0,0
6/6/1970,84,55,0,0,0
6/7/1970,92,60,T,0,0
6/8/1970,90,68,0,0,0
6/9/1970,88,71,0,0,0
6/10/1970,86,70,0.02,0,0
6/11/1970,86,63,0.05,0,0
6/12/1970,84,66,0.49,0,0
6/13/1970,80,66,0.07,0,0
6/14/1970,78,65,T,0,0
6/15/1970,83,68,0.06,0,0
6/16/1970,82,66,0.24,0,0
6/17/1970,88,68,T,0,0
6/18/1970,69,53,0,0,0
6/19/1970,70,49,T,0,0
6/20/1970,68,56,0.15,0,0
6/21/1970,76,49,0,0,0
6/22/1970,85,60,0,0,0
6/23/1970,87,62,0,0,0
6/24/1970,76,58,0,0,0
6/25/1970,72,55,0.19,0,0
6/26/1970,73,59,0,0,0
6/27/1970,81,55,0,0,0
6/28/1970,95,68,0,0,0
6/29/1970,97,71,0,0,0
6/30/1970,94,77,T,0,0
7/1/1970,94,73,0.07,0,0
7/2/1970,91,69,0.09,0,0
7/3/1970,71,60,T,0,0
7/4/1970,78,57,0.03,0,0
7/5/1970,83,51,0,0,0
7/6/1970,83,60,T,0,0
7/7/1970,90,68,0,0,0
