Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/1910,33,6,0,0,10
1/2/1910,10,2,0.1,1.1,11
1/3/1910,10,-15,0,0.2,11
1/4/1910,11,-18,0.39,3.2,14
1/5/1910,12,-6,0,2.8,16
1/6/1910,2,-14,0,0,16
1/7/1910,10,-5,T,T,16
1/8/1910,11,-3,T,T,16
1/9/1910,7,-7,0,0,15
1/10/1910,25,6,T,T,15
1/11/1910,26,19,0,0,15
1/12/1910,30,17,0,0,14
1/13/1910,28,20,T,T,14
1/14/1910,28,10,0,0,13
1/15/1910,27,7,0,0,13
1/16/1910,34,27,T,0,13
1/17/1910,36,18,0.12,1.8,14
1/18/1910,20,11,0.04,0.3,14
1/19/1910,39,11,0,0,13
1/20/1910,30,16,0.03,0.8,14
1/21/1910,20,9,0,0,14
1/22/1910,26,6,0,0,14
1/23/1910,25,13,0,0,14
1/24/1910,23,2,0,0,14
1/25/1910,36,21,0,0,12
1/26/1910,30,25,0.37,3.3,15
1/27/1910,28,15,0.01,0.2,15
1/28/1910,25,13,T,T,15
1/29/1910,25,16,T,0.1,14
1/30/1910,20,12,0.02,0.3,15
1/31/1910,29,4,0,0,14
2/1/1910,45,21,0,0,14
2/2/1910,31,20,T,T,14
2/3/1910,28,8,0,0,13
2/4/1910,31,17,0,0,13
2/5/1910,19,6,0,0,13
2/6/1910,25,6,0,0,13
2/7/1910,36,18,0,0,13
2/8/1910,32,19,0,0,13
2/9/1910,21,-3,T,T,13
2/10/1910,11,-11,T,T,13
2/11/1910,14,4,0.01,0.3,13
2/12/1910,20,-6,0,0,13
2/13/1910,30,8,0,0,13
2/14/1910,29,19,0.15,1.4,13
2/15/1910,21,-3,0.31,3.4,18
2/16/1910,3,-13,0,0,17
2/17/1910,5,-14,0,0,16
2/18/1910,8,-10,T,T,16
2/19/1910,9,-12,0.01,0.2,16
2/20/1910,15,0,0.01,0.3,17
2/21/1910,8,-10,0,0,16
2/22/1910,4,-16,0.02,0.4,17
2/23/1910,2,-18,0,0,17
2/24/1910,13,-2,T,0.1,17
2/25/1910,34,7,0,0,16
2/26/1910,35,9,0,0,16
2/27/1910,20,2,0,0,16
2/28/1910,37,14,T,T,13
3/1/1910,37,23,0.05,0.9,13
3/2/1910,43,27,0,0,11
3/3/1910,52,28,0,0,8
3/4/1910,53,29,T,0,3
3/5/1910,51,34,0,0,1
3/6/1910,42,23,T,0,1
3/7/1910,27,16,T,0,T
3/8/1910,34,20,0,0,T
3/9/1910,34,18,0,0,T
3/10/1910,42,24,T,0,T
3/11/1910,44,33,0,0,T
3/12/1910,60,30,0,0,T
3/13/1910,49,31,0,0,0
3/14/1910,37,26,0,0,0
3/15/1910,55,29,0,0,0
3/16/1910,50,32,0,0,0
3/17/1910,50,28,0,0,0
3/18/1910,68,37,0,0,0
3/19/1910,72,48,0,0,0
3/20/1910,59,37,0,0,0
3/21/1910,71,42,0,0,0
3/22/1910,65,44,0,0,0
3/23/1910,83,48,0,0,0
3/24/1910,68,49,0,0,0
3/25/1910,63,40,0,0,0
3/26/1910,68,45,T,0,0
3/27/1910,66,57,0,0,0
3/28/1910,76,45,0,0,0
3/29/1910,76,57,0.04,0,0
3/30/1910,59,37,T,0,0
3/31/1910,62,31,0,0,0
4/1/1910,60,45,0,0,0
4/2/1910,74,42,0,0,0
4/3/1910,74,50,0,0,0
4/4/1910,74,39,0.02,0,0
4/5/1910,49,38,0,0,0
4/6/1910,60,32,0,0,0
4/7/1910,69,40,0,0,0
4/8/1910,66,44,0,0,0
4/9/1910,72,48,0,0,0
4/10/1910,81,50,0,0,0
4/11/1910,66,37,0,0,0
4/12/1910,60,37,0,0,0
4/13/1910,75,46,0,0,0
4/14/1910,70,53,0,0,0
4/15/1910,63,30,0.1,0,0
4/16/1910,32,26,0.13,1.4,T
4/17/1910,34,26,0.18,2,3
4/18/1910,49,29,0,0,0
4/19/1910,57,34,0,0,0
4/20/1910,69,38,0,0,0
4/21/1910,73,43,0.03,0,0
4/22/1910,43,26,0.06,T,0
4/23/1910,35,19,0.12,1.5,T
4/24/1910,47,29,0,0,T
4/25/1910,59,31,0,0,0
4/26/1910,72,36,0,0,0
4/27/1910,85,45,0,0,0
4/28/1910,82,39,0,0,0
4/29/1910,79,49,0,0,0
4/30/1910,61,42,0,0,0
5/1/1910,68,43,T,0,0
5/2/1910,51,35,0,0,0
5/3/1910,58,34,0,0,0
5/4/1910,63,40,0,0,0
5/5/1910,67,42,0,0,0
5/6/1910,64,52,0,0,0
5/7/1910,68,46,0,0,0
5/8/1910,72,46,T,0,0
5/9/1910,68,48,0,0,0
5/10/1910,67,46,0,0,0
5/11/1910,57,35,0,0,0
5/12/1910,59,35,0,0,0
5/13/1910,62,37,0,0,0
5/14/1910,73,42,0,0,0
5/15/1910,70,51,0.01,0,0
5/16/1910,55,48,0.18,0,0
5/17/1910,60,48,0.9,0,0
5/18/1910,78,50,0,0,0
5/19/1910,79,56,0.18,0,0
5/20/1910,66,48,T,0,0
5/21/1910,50,43,0.1,0,0
5/22/1910,61,42,0,0,0
5/23/1910,67,47,T,0,0
5/24/1910,57,45,T,0,0
5/25/1910,63,42,0,0,0
5/26/1910,71,44,0,0,0
5/27/1910,75,50,0,0,0
5/28/1910,68,55,0.02,0,0
5/29/1910,56,45,0,0,0
5/30/1910,67,43,0,0,0
5/31/1910,70,47,0,0,0
6/1/1910,64,47,0,0,0
6/2/1910,62,37,0,0,0
6/3/1910,55,44,0.01,0,0
6/4/1910,58,47,0.01,0,0
6/5/1910,60,42,0.06,0,0
6/6/1910,63,44,0,0,0
6/7/1910,73,47,0,0,0
6/8/1910,72,54,0,0,0
6/9/1910,71,56,T,0,0
6/10/1910,78,49,0,0,0
6/11/1910,81,53,0,0,0
6/12/1910,83,60,0,0,0
6/13/1910,84,60,0,0,0
6/14/1910,86,62,0,0,0
6/15/1910,86,63,0,0,0
6/16/1910,90,67,0,0,0
6/17/1910,93,71,0,0,0
6/18/1910,89,71,0,0,0
6/19/1910,92,64,0,0,0
6/20/1910,96,68,0,0,0
6/21/1910,95,71,0,0,0
6/22/1910,96,70,0,0,0
6/23/1910,95,74,0,0,0
6/24/1910,95,74,0.13,0,0
6/25/1910,94,67,0.73,0,0
6/26/1910,77,67,0.25,0,0
6/27/1910,90,66,0,0,0
