Unnamed: 0,Date,MaxTemp,MinTemp,Precip,Snow,SnowDepth,datetime,day,month,year,season
37955,12/2/2003,30,17,0,0,T,2003-12-02,2,12,2003,Winter
37956,12/3/2003,37,28,0,0,T,2003-12-03,3,12,2003,Winter
37957,12/4/2003,36,28,0.06,0.9,T,2003-12-04,4,12,2003,Winter
37958,12/5/2003,34,30,0.02,0.5,1,2003-12-05,5,12,2003,Winter
37959,12/6/2003,32,29,0,0,T,2003-12-06,6,12,2003,Winter
37960,12/7/2003,36,28,0,0,T,2003-12-07,7,12,2003,Winter
37961,12/8/2003,41,32,T,0,T,2003-12-08,8,12,2003,Winter
37962,12/9/2003,35,19,0.37,9.5,2,2003-12-09,9,12,2003,Winter
37963,12/10/2003,22,11,0.04,1,9,2003-12-10,10,12,2003,Winter
37964,12/11/2003,11,0,T,0,7,2003-12-11,11,12,2003,Winter
37965,12/12/2003,15,-4,T,T,6,2003-12-12,12,12,2003,Winter
37966,12/13/2003,25,4,T,T,6,2003-12-13,13,12,2003,Winter
37967,12/14/2003,29,24,T,T,6,2003-12-14,14,12,2003,Winter
37968,12/15/2003,29,25,T,T,5,2003-12-15,15,12,2003,Winter
37969,12/16/2003,27,14,0.06,2,7,2003-12-16,16,12,2003,Winter
37970,12/17/2003,20,10,T,0.7,6,2003-12-17,17,12,2003,Winter
37971,12/18/2003,32,19,0.05,0.7,7,2003-12-18,18,12,2003,Winter
37972,12/19/2003,28,14,0,0,6,2003-12-19,19,12,2003,Winter
37973,12/20/2003,34,15,0,0,6,2003-12-20,20,12,2003,Winter
37974,12/21/2003,38,25,0,0,5,2003-12-21,21,12,2003,Winter
37975,12/22/2003,35,26,T,0,4,2003-12-22,22,12,2003,Winter
37976,12/23/2003,31,16,0,0,4,2003-12-23,23,12,2003,Winter
37977,12/24/2003,28,10,0,0,4,2003-12-24,24,12,2003,Winter
37978,12/25/2003,33,12,0,0,4,2003-12-25,25,12,2003,Winter
37979,12/26/2003,39,26,0,0,3,2003-12-26,26,12,2003,Winter
37980,12/27/2003,43,38,0.01,0,2,2003-12-27,27,12,2003,Winter
37981,12/28/2003,40,29,0,0,T,2003-12-28,28,12,2003,Winter
37982,12/29/2003,29,17,0.01,0.8,T,2003-12-29,29,12,2003,Winter
37983,12/30/2003,33,11,T,T,T,2003-12-30,30,12,2003,Winter
37984,12/31/2003,26,10,T,0,T,2003-12-31,31,12,2003,Winter
37985,1/1/2004,34,17,T,0,T,2004-01-01,1,1,2004,Winter
37986,1/2/2004,36,19,T,0,T,2004-01-02,2,1,2004,Winter
37987,1/3/2004,19,9,0,0,T,2004-01-03,3,1,2004,Winter
37988,1/4/2004,10,3,T,0.2,T,2004-01-04,4,1,2004,Winter
37989,1/5/2004,4,-6,T,T,T,2004-01-05,5,1,2004,Winter
37990,1/6/2004,12,-3,T,0,T,2004-01-06,6,1,2004,Winter
37991,1/7/2004,20,5,0,0,T,2004-01-07,7,1,2004,Winter
37992,1/8/2004,20,9,0,0,T,2004-01-08,8,1,2004,Winter
37993,1/9/2004,21,15,0,0,T,2004-01-09,9,1,2004,Winter
37994,1/10/2004,28,20,0,0,T,2004-01-10,10,1,2004,Winter
37995,1/11/2004,36,22,T,0,T,2004-01-11,11,1,2004,Winter
37996,1/12/2004,33,17,T,T,0,2004-01-12,12,1,2004,Winter
37997,1/13/2004,30,14,T,0,0,2004-01-13,13,1,2004,Winter
37998,1/14/2004,34,13,T,T,0,2004-01-14,14,1,2004,Winter
37999,1/15/2004,28,10,0,0,0,2004-01-15,15,1,2004,Winter
38000,1/16/2004,29,19,0,0,0,2004-01-16,16,1,2004,Winter
38001,1/17/2004,34,4,T,T,0,2004-01-17,17,1,2004,Winter
38002,1/18/2004,4,-6,0,0,0,2004-01-18,18,1,2004,Winter
38003,1/19/2004,9,-5,0,0,0,2004-01-19,19,1,2004,Winter
38004,1/20/2004,20,6,T,0.3,T,2004-01-20,20,1,2004,Winter
38005,1/21/2004,30,-9,0.01,0.2,T,2004-01-21,21,1,2004,Winter
38006,1/22/2004,5,-10,T,0.3,T,2004-01-22,22,1,2004,Winter
38007,1/23/2004,12,5,0.04,0.5,T,2004-01-23,23,1,2004,Winter
38008,1/24/2004,14,1,0,0,1,2004-01-24,24,1,2004,Winter
38009,1/25/2004,18,11,T,0.8,1,2004-01-25,25,1,2004,Winter
38010,1/26/2004,20,15,0.16,7.6,4,2004-01-26,26,1,2004,Winter
38011,1/27/2004,16,-2,T,0.1,7,2004-01-27,27,1,2004,Winter
38012,1/28/2004,2,-16,T,T,6,2004-01-28,28,1,2004,Winter
38013,1/29/2004,-8,-16,T,0.2,5,2004-01-29,29,1,2004,Winter
38014,1/30/2004,-4,-24,0,0,5,2004-01-30,30,1,2004,Winter
38015,1/31/2004,7,-15,0.02,0.5,5,2004-01-31,31,1,2004,Winter
38016,2/1/2004,19,7,0.24,6.7,11,2004-02-01,1,2,2004,Winter
38017,2/2/2004,22,10,0.35,4,14,2004-02-02,2,2,2004,Winter
38018,2/3/2004,11,-8,0,0,12,2004-02-03,3,2,2004,Winter
38019,2/4/2004,15,-11,T,0.2,12,2004-02-04,4,2,2004,Winter
38020,2/5/2004,26,15,0.03,1.1,12,2004-02-05,5,2,2004,Winter
38021,2/6/2004,27,17,0.06,1.5,13,2004-02-06,6,2,2004,Winter
38022,2/7/2004,25,4,0.02,0.3,13,2004-02-07,7,2,2004,Winter
38023,2/8/2004,19,2,0.03,1.8,13,2004-02-08,8,2,2004,Winter
38024,2/9/2004,27,13,T,0.1,14,2004-02-09,9,2,2004,Winter
38025,2/10/2004,17,7,0.02,0.3,12,2004-02-10,10,2,2004,Winter
38026,2/11/2004,24,16,0.02,1.3,10,2004-02-11,11,2,2004,Winter
38027,2/12/2004,19,6,T,T,11,2004-02-12,12,2,2004,Winter
38028,2/13/2004,28,7,0,0,10,2004-02-13,13,2,2004,Winter
38029,2/14/2004,20,3,0,0,10,2004-02-14,14,2,2004,Winter
38030,2/15/2004,12,-5,0,0,10,2004-02-15,15,2,2004,Winter
38031,2/16/2004,24,3,T,0,10,2004-02-16,16,2,2004,Winter
38032,2/17/2004,28,9,T,0,9,2004-02-17,17,2,2004,Winter
38033,2/18/2004,42,22,0,0,9,2004-02-18,18,2,2004,Winter
38034,2/19/2004,39,32,0.01,T,8,2004-02-19,19,2,2004,Winter
38035,2/20/2004,34,31,0.14,2.4,9,2004-02-20,20,2,2004,Winter
38036,2/21/2004,36,26,0,0,8,2004-02-21,21,2,2004,Winter
38037,2/22/2004,36,26,0.08,T,8,2004-02-22,22,2,2004,Winter
38038,2/23/2004,35,28,0,0,7,2004-02-23,23,2,2004,Winter
38039,2/24/2004,38,24,0,0,7,2004-02-24,24,2,2004,Winter
38040,2/25/2004,33,24,T,0,6,2004-02-25,25,2,2004,Winter
38041,2/26/2004,38,22,0,0,5,2004-02-26,26,2,2004,Winter
38042,2/27/2004,40,28,0,0,5,2004-02-27,27,2,2004,Winter
38043,2/28/2004,47,32,0,0,4,2004-02-28,28,2,2004,Winter
38044,2/29/2004,48,33,0.09,0,3,2004-02-29,29,2,2004,Winter
38320,12/1/2004,34,22,0,0,0,2004-12-01,1,12,2004,Winter
38321,12/2/2004,34,19,0.04,0.8,0,2004-12-02,2,12,2004,Winter
38322,12/3/2004,39,20,0,0,1,2004-12-03,3,12,2004,Winter
38323,12/4/2004,45,27,0,0,0,2004-12-04,4,12,2004,Winter
38324,12/5/2004,34,24,0,0,0,2004-12-05,5,12,2004,Winter
38325,12/6/2004,36,30,0.02,0.2,T,2004-12-06,6,12,2004,Winter
38326,12/7/2004,36,33,0.02,T,0,2004-12-07,7,12,2004,Winter
38327,12/8/2004,40,31,0,0,0,2004-12-08,8,12,2004,Winter
38328,12/9/2004,40,32,0.08,0,0,2004-12-09,9,12,2004,Winter
38329,12/10/2004,36,31,0.08,T,0,2004-12-10,10,12,2004,Winter
38330,12/11/2004,36,27,0,0,0,2004-12-11,11,12,2004,Winter
38331,12/12/2004,41,19,T,T,0,2004-12-12,12,12,2004,Winter
38332,12/13/2004,19,9,T,T,0,2004-12-13,13,12,2004,Winter
38333,12/14/2004,27,6,0,0,0,2004-12-14,14,12,2004,Winter
38334,12/15/2004,39,26,0,0,0,2004-12-15,15,12,2004,Winter
38335,12/16/2004,33,15,T,T,0,2004-12-16,16,12,2004,Winter
38336,12/17/2004,33,11,0,0,0,2004-12-17,17,12,2004,Winter
38337,12/18/2004,38,-1,0,0,0,2004-12-18,18,12,2004,Winter
38338,12/19/2004,13,-9,T,T,0,2004-12-19,19,12,2004,Winter
38339,12/20/2004,26,13,0.02,T,T,2004-12-20,20,12,2004,Winter
38340,12/21/2004,32,-1,0.01,0.5,1,2004-12-21,21,12,2004,Winter
38341,12/22/2004,2,-4,T,T,1,2004-12-22,22,12,2004,Winter
38342,12/23/2004,0,-9,0,0,1,2004-12-23,23,12,2004,Winter
38343,12/24/2004,10,-10,T,0.1,1,2004-12-24,24,12,2004,Winter
38344,12/25/2004,18,8,0.01,0.2,1,2004-12-25,25,12,2004,Winter
38345,12/26/2004,20,1,0,0,1,2004-12-26,26,12,2004,Winter
38346,12/27/2004,27,16,T,T,T,2004-12-27,27,12,2004,Winter
38347,12/28/2004,29,17,0,0,T,2004-12-28,28,12,2004,Winter
38348,12/29/2004,25,22,T,T,T,2004-12-29,29,12,2004,Winter
38349,12/30/2004,51,25,0.16,0,T,2004-12-30,30,12,2004,Winter
38350,12/31/2004,42,13,T,T,0,2004-12-31,31,12,2004,Winter
38351,1/1/2005,28,13,0.34,0.5,1,2005-01-01,1,1,2005,Winter
38352,1/2/2005,28,8,T,0,1,2005-01-02,2,1,2005,Winter
38353,1/3/2005,16,4,0,0,1,2005-01-03,3,1,2005,Winter
38354,1/4/2005,16,5,0,0,0,2005-01-04,4,1,2005,Winter
38355,1/5/2005,9,0,0,0,0,2005-01-05,5,1,2005,Winter
38356,1/6/2005,15,5,T,T,T,2005-01-06,6,1,2005,Winter
38357,1/7/2005,21,7,T,T,T,2005-01-07,7,1,2005,Winter
38358,1/8/2005,20,10,T,T,T,2005-01-08,8,1,2005,Winter
38359,1/9/2005,28,11,0.01,0.1,T,2005-01-09,9,1,2005,Winter
38360,1/10/2005,15,7,0.03,0.7,T,2005-01-10,10,1,2005,Winter
38361,1/11/2005,26,14,0.01,0.2,1,2005-01-11,11,1,2005,Winter
38362,1/12/2005,31,23,0.05,0.6,1,2005-01-12,12,1,2005,Winter
38363,1/13/2005,25,-10,T,T,1,2005-01-13,13,1,2005,Winter
38364,1/14/2005,-1,-14,0,0,1,2005-01-14,14,1,2005,Winter
38365,1/15/2005,1,-11,0,0,1,2005-01-15,15,1,2005,Winter
38366,1/16/2005,5,-9,0,0,1,2005-01-16,16,1,2005,Winter
38367,1/17/2005,3,-12,0,0,1,2005-01-17,17,1,2005,Winter
38368,1/18/2005,37,-3,0.02,0.2,1,2005-01-18,18,1,2005,Winter
38369,1/19/2005,31,16,0.01,T,1,2005-01-19,19,1,2005,Winter
38370,1/20/2005,22,16,0.02,0.1,1,2005-01-20,20,1,2005,Winter
38371,1/21/2005,22,19,0.68,5.5,1,2005-01-21,21,1,2005,Winter
38372,1/22/2005,24,4,0.02,0.4,7,2005-01-22,22,1,2005,Winter
38373,1/23/2005,22,-1,0,0,6,2005-01-23,23,1,2005,Winter
38374,1/24/2005,35,18,0,0,6,2005-01-24,24,1,2005,Winter
38375,1/25/2005,44,22,0,0,6,2005-01-25,25,1,2005,Winter
38376,1/26/2005,33,13,T,T,5,2005-01-26,26,1,2005,Winter
38377,1/27/2005,26,6,0,0,5,2005-01-27,27,1,2005,Winter
38378,1/28/2005,28,15,0,0,4,2005-01-28,28,1,2005,Winter
38379,1/29/2005,31,24,T,T,4,2005-01-29,29,1,2005,Winter
38380,1/30/2005,33,28,T,T,4,2005-01-30,30,1,2005,Winter
38381,1/31/2005,35,29,0.02,0.3,4,2005-01-31,31,1,2005,Winter
38382,2/1/2005,36,31,0,0,4,2005-02-01,1,2,2005,Winter
38383,2/2/2005,42,27,0,0,4,2005-02-02,2,2,2005,Winter
38384,2/3/2005,50,31,0,0,3,2005-02-03,3,2,2005,Winter
38385,2/4/2005,51,35,0,0,2,2005-02-04,4,2,2005,Winter
38386,2/5/2005,51,33,0,0,1,2005-02-05,5,2,2005,Winter
38387,2/6/2005,48,18,0,0,T,2005-02-06,6,2,2005,Winter
38388,2/7/2005,19,11,0,0,0,2005-02-07,7,2,2005,Winter
38389,2/8/2005,23,14,T,T,0,2005-02-08,8,2,2005,Winter
38390,2/9/2005,23,18,0.02,0.5,1,2005-02-09,9,2,2005,Winter
38391,2/10/2005,28,11,T,T,T,2005-02-10,10,2,2005,Winter
38392,2/11/2005,48,22,0,0,T,2005-02-11,11,2,2005,Winter
38393,2/12/2005,53,25,0,0,T,2005-02-12,12,2,2005,Winter
38394,2/13/2005,39,32,0.46,1.8,T,2005-02-13,13,2,2005,Winter
38395,2/14/2005,42,30,0.12,0.9,3,2005-02-14,14,2,2005,Winter
38396,2/15/2005,33,23,0,0,T,2005-02-15,15,2,2005,Winter
38397,2/16/2005,25,12,T,T,T,2005-02-16,16,2,2005,Winter
38398,2/17/2005,19,8,T,T,T,2005-02-17,17,2,2005,Winter
38399,2/18/2005,27,3,0.01,0.1,0,2005-02-18,18,2,2005,Winter
38400,2/19/2005,24,9,0.09,1.4,T,2005-02-19,19,2,2005,Winter
38401,2/20/2005,33,22,0.16,2.3,4,2005-02-20,20,2,2005,Winter
38402,2/21/2005,24,9,0,0,4,2005-02-21,21,2,2005,Winter
38403,2/22/2005,29,7,0,0,4,2005-02-22,22,2,2005,Winter
38404,2/23/2005,29,7,0,0,4,2005-02-23,23,2,2005,Winter
38405,2/24/2005,30,19,0.01,0.1,3,2005-02-24,24,2,2005,Winter
38406,2/25/2005,32,16,0,0,4,2005-02-25,25,2,2005,Winter
38407,2/26/2005,32,15,0,0,3,2005-02-26,26,2,2005,Winter
38408,2/27/2005,34,24,0.09,0.9,3,2005-02-27,27,2,2005,Winter
38409,2/28/2005,27,17,T,T,3,2005-02-28,28,2,2005,Winter
38685,12/1/2005,20,13,0.02,0.2,2,2005-12-01,1,12,2005,Winter
38686,12/2/2005,15,8,T,0.2,2,2005-12-02,2,12,2005,Winter
38687,12/3/2005,17,8,0.07,2.6,2,2005-12-03,3,12,2005,Winter
38688,12/4/2005,14,2,T,T,4,2005-12-04,4,12,2005,Winter
38689,12/5/2005,7,-4,T,T,4,2005-12-05,5,12,2005,Winter
38690,12/6/2005,10,-7,T,0.1,4,2005-12-06,6,12,2005,Winter
38691,12/7/2005,23,4,T,T,4,2005-12-07,7,12,2005,Winter
38692,12/8/2005,21,3,T,T,4,2005-12-08,8,12,2005,Winter
38693,12/9/2005,20,3,T,T,4,2005-12-09,9,12,2005,Winter
38694,12/10/2005,36,17,0.01,0.1,3,2005-12-10,10,12,2005,Winter
38695,12/11/2005,24,11,T,T,3,2005-12-11,11,12,2005,Winter
38696,12/12/2005,32,18,T,T,3,2005-12-12,12,12,2005,Winter
38697,12/13/2005,32,25,0.05,0.4,3,2005-12-13,13,12,2005,Winter
38698,12/14/2005,32,25,0.3,5,7,2005-12-14,14,12,2005,Winter
38699,12/15/2005,26,18,0.07,1.1,7,2005-12-15,15,12,2005,Winter
38700,12/16/2005,19,7,T,0.2,7,2005-12-16,16,12,2005,Winter
38701,12/17/2005,11,2,T,T,6,2005-12-17,17,12,2005,Winter
38702,12/18/2005,7,-5,T,T,6,2005-12-18,18,12,2005,Winter
38703,12/19/2005,14,-8,T,T,6,2005-12-19,19,12,2005,Winter
38704,12/20/2005,19,5,T,T,6,2005-12-20,20,12,2005,Winter
38705,12/21/2005,17,9,0.01,0.1,6,2005-12-21,21,12,2005,Winter
38706,12/22/2005,40,13,0,0,6,2005-12-22,22,12,2005,Winter
38707,12/23/2005,43,31,0.09,0,6,2005-12-23,23,12,2005,Winter
38708,12/24/2005,37,32,T,0,4,2005-12-24,24,12,2005,Winter
38709,12/25/2005,35,32,T,T,3,2005-12-25,25,12,2005,Winter
38710,12/26/2005,33,31,T,0,3,2005-12-26,26,12,2005,Winter
38711,12/27/2005,33,31,T,0,3,2005-12-27,27,12,2005,Winter
38712,12/28/2005,35,30,T,0,2,2005-12-28,28,12,2005,Winter
38713,12/29/2005,32,27,0.06,1,2,2005-12-29,29,12,2005,Winter
38714,12/30/2005,33,30,0.29,3.5,5,2005-12-30,30,12,2005,Winter
38715,12/31/2005,30,27,T,T,6,2005-12-31,31,12,2005,Winter
38716,1/1/2006,33,24,0,0,5,2006-01-01,1,1,2006,Winter
38717,1/2/2006,34,32,0.16,0,4,2006-01-02,2,1,2006,Winter
38718,1/3/2006,36,32,0.01,T,4,2006-01-03,3,1,2006,Winter
38719,1/4/2006,33,29,0.05,T,3,2006-01-04,4,1,2006,Winter
38720,1/5/2006,29,27,T,T,1,2006-01-05,5,1,2006,Winter
38721,1/6/2006,31,21,T,T,1,2006-01-06,6,1,2006,Winter
38722,1/7/2006,36,26,0,0,1,2006-01-07,7,1,2006,Winter
38723,1/8/2006,34,30,0.03,0.5,1,2006-01-08,8,1,2006,Winter
38724,1/9/2006,31,18,0,0,1,2006-01-09,9,1,2006,Winter
38725,1/10/2006,32,16,0,0,1,2006-01-10,10,1,2006,Winter
38726,1/11/2006,37,23,0,0,1,2006-01-11,11,1,2006,Winter
38727,1/12/2006,44,27,T,0,1,2006-01-12,12,1,2006,Winter
38728,1/13/2006,32,20,T,T,1,2006-01-13,13,1,2006,Winter
38729,1/14/2006,33,19,0,0,1,2006-01-14,14,1,2006,Winter
38730,1/15/2006,39,30,0,0,1,2006-01-15,15,1,2006,Winter
38731,1/16/2006,33,23,0.08,0.7,1,2006-01-16,16,1,2006,Winter
38732,1/17/2006,23,14,T,T,1,2006-01-17,17,1,2006,Winter
38733,1/18/2006,26,14,T,T,1,2006-01-18,18,1,2006,Winter
38734,1/19/2006,28,23,0.01,0.1,1,2006-01-19,19,1,2006,Winter
38735,1/20/2006,32,23,0,0,1,2006-01-20,20,1,2006,Winter
38736,1/21/2006,31,17,0,0,1,2006-01-21,21,1,2006,Winter
38737,1/22/2006,31,9,0,0,1,2006-01-22,22,1,2006,Winter
38738,1/23/2006,38,5,0.01,0.1,1,2006-01-23,23,1,2006,Winter
38739,1/24/2006,39,27,0.01,T,1,2006-01-24,24,1,2006,Winter
38740,1/25/2006,32,19,0,0,T,2006-01-25,25,1,2006,Winter
38741,1/26/2006,48,21,0.02,0,T,2006-01-26,26,1,2006,Winter
38742,1/27/2006,46,31,0,0,T,2006-01-27,27,1,2006,Winter
38743,1/28/2006,40,28,0.11,T,0,2006-01-28,28,1,2006,Winter
38744,1/29/2006,34,30,0.14,0.9,T,2006-01-29,29,1,2006,Winter
38745,1/30/2006,37,24,T,T,1,2006-01-30,30,1,2006,Winter
38746,1/31/2006,35,22,0.08,T,0,2006-01-31,31,1,2006,Winter
38747,2/1/2006,34,25,0.09,0.2,0,2006-02-01,1,2,2006,Winter
38748,2/2/2006,43,26,0,0,0,2006-02-02,2,2,2006,Winter
38749,2/3/2006,33,11,0.04,0.3,T,2006-02-03,3,2,2006,Winter
38750,2/4/2006,21,5,T,T,T,2006-02-04,4,2,2006,Winter
38751,2/5/2006,24,7,T,T,T,2006-02-05,5,2,2006,Winter
38752,2/6/2006,27,9,0,0,T,2006-02-06,6,2,2006,Winter
38753,2/7/2006,30,20,0,0,T,2006-02-07,7,2,2006,Winter
38754,2/8/2006,28,11,0,0,T,2006-02-08,8,2,2006,Winter
38755,2/9/2006,28,10,0.12,1.5,T,2006-02-09,9,2,2006,Winter
38756,2/10/2006,32,21,0.02,0.1,2,2006-02-10,10,2,2006,Winter
38757,2/11/2006,27,17,T,T,2,2006-02-11,11,2,2006,Winter
38758,2/12/2006,21,8,T,T,1,2006-02-12,12,2,2006,Winter
38759,2/13/2006,31,9,0,0,1,2006-02-13,13,2,2006,Winter
38760,2/14/2006,39,17,0.05,T,1,2006-02-14,14,2,2006,Winter
38761,2/15/2006,21,7,0,0,T,2006-02-15,15,2,2006,Winter
38762,2/16/2006,18,8,T,T,T,2006-02-16,16,2,2006,Winter
38763,2/17/2006,8,-13,0,0,T,2006-02-17,17,2,2006,Winter
38764,2/18/2006,10,-13,0,0,T,2006-02-18,18,2,2006,Winter
38765,2/19/2006,22,1,0,0,T,2006-02-19,19,2,2006,Winter
38766,2/20/2006,33,10,0,0,T,2006-02-20,20,2,2006,Winter
38767,2/21/2006,28,8,0,0,T,2006-02-21,21,2,2006,Winter
38768,2/22/2006,37,18,0,0,T,2006-02-22,22,2,2006,Winter
38769,2/23/2006,29,14,0,0,T,2006-02-23,23,2,2006,Winter
38770,2/24/2006,42,16,T,T,T,2006-02-24,24,2,2006,Winter
38771,2/25/2006,25,11,0,0,0,2006-02-25,25,2,2006,Winter
38772,2/26/2006,36,11,T,T,0,2006-02-26,26,2,2006,Winter
38773,2/27/2006,34,23,0,0,0,2006-02-27,27,2,2006,Winter
38774,2/28/2006,39,22,0,0,0,2006-02-28,28,2,2006,Winter
39050,12/1/2006,24,8,0,0,0,2006-12-01,1,12,2006,Winter
39051,12/2/2006,23,9,T,T,0,2006-12-02,2,12,2006,Winter
39052,12/3/2006,14,7,T,T,0,2006-12-03,3,12,2006,Winter
39053,12/4/2006,22,5,T,0.1,T,2006-12-04,4,12,2006,Winter
39054,12/5/2006,37,5,0,0,T,2006-12-05,5,12,2006,Winter
39055,12/6/2006,28,5,T,T,0,2006-12-06,6,12,2006,Winter
39056,12/7/2006,13,-1,0,0,0,2006-12-07,7,12,2006,Winter
39057,12/8/2006,33,9,0,0,0,2006-12-08,8,12,2006,Winter
39058,12/9/2006,48,24,0,0,0,2006-12-09,9,12,2006,Winter
39059,12/10/2006,46,31,0,0,0,2006-12-10,10,12,2006,Winter
39060,12/11/2006,42,27,0.01,0,0,2006-12-11,11,12,2006,Winter
39061,12/12/2006,39,32,0.08,0,0,2006-12-12,12,12,2006,Winter
39062,12/13/2006,41,27,0,0,0,2006-12-13,13,12,2006,Winter
39063,12/14/2006,50,31,0.01,0,0,2006-12-14,14,12,2006,Winter
39064,12/15/2006,36,29,0,0,0,2006-12-15,15,12,2006,Winter
39065,12/16/2006,47,32,0,0,0,2006-12-16,16,12,2006,Winter
39066,12/17/2006,36,25,0,0,0,2006-12-17,17,12,2006,Winter
39067,12/18/2006,30,18,0,0,0,2006-12-18,18,12,2006,Winter
39068,12/19/2006,42,23,0,0,0,2006-12-19,19,12,2006,Winter
39069,12/20/2006,39,32,0,0,0,2006-12-20,20,12,2006,Winter
39070,12/21/2006,35,31,0.71,1,0,2006-12-21,21,12,2006,Winter
39071,12/22/2006,34,33,0.07,T,1,2006-12-22,22,12,2006,Winter
39072,12/23/2006,35,28,0,0,T,2006-12-23,23,12,2006,Winter
39073,12/24/2006,40,23,0,0,T,2006-12-24,24,12,2006,Winter
39074,12/25/2006,34,21,0,0,T,2006-12-25,25,12,2006,Winter
39075,12/26/2006,37,19,0,0,0,2006-12-26,26,12,2006,Winter
39076,12/27/2006,43,30,T,T,0,2006-12-27,27,12,2006,Winter
39077,12/28/2006,39,34,0.02,T,0,2006-12-28,28,12,2006,Winter
39078,12/29/2006,36,34,0.04,T,0,2006-12-29,29,12,2006,Winter
39079,12/30/2006,43,34,0.21,0,0,2006-12-30,30,12,2006,Winter
39080,12/31/2006,43,30,0.98,3.2,0,2006-12-31,31,12,2006,Winter
39081,1/1/2007,33,21,0,0,3,2007-01-01,1,1,2007,Winter
39082,1/2/2007,36,18,0,0,3,2007-01-02,2,1,2007,Winter
39083,1/3/2007,40,28,0,0,2,2007-01-03,3,1,2007,Winter
39084,1/4/2007,41,33,0,0,2,2007-01-04,4,1,2007,Winter
39085,1/5/2007,37,29,0,0,T,2007-01-05,5,1,2007,Winter
39086,1/6/2007,36,28,0,0,T,2007-01-06,6,1,2007,Winter
39087,1/7/2007,37,22,T,T,0,2007-01-07,7,1,2007,Winter
39088,1/8/2007,34,19,0,0,0,2007-01-08,8,1,2007,Winter
39089,1/9/2007,24,16,T,T,0,2007-01-09,9,1,2007,Winter
39090,1/10/2007,39,14,0,0,0,2007-01-10,10,1,2007,Winter
39091,1/11/2007,39,14,0,0,0,2007-01-11,11,1,2007,Winter
39092,1/12/2007,14,4,0,0,0,2007-01-12,12,1,2007,Winter
39093,1/13/2007,14,1,0,0,0,2007-01-13,13,1,2007,Winter
39094,1/14/2007,21,13,0.16,3,0,2007-01-14,14,1,2007,Winter
39095,1/15/2007,14,0,0.05,1.2,4,2007-01-15,15,1,2007,Winter
39096,1/16/2007,8,-6,0,0,4,2007-01-16,16,1,2007,Winter
39097,1/17/2007,28,-1,0,0,3,2007-01-17,17,1,2007,Winter
39098,1/18/2007,28,15,0.02,0.2,3,2007-01-18,18,1,2007,Winter
39099,1/19/2007,20,8,0,0,3,2007-01-19,19,1,2007,Winter
39100,1/20/2007,25,5,0,0,3,2007-01-20,20,1,2007,Winter
39101,1/21/2007,28,18,0.07,0.8,4,2007-01-21,21,1,2007,Winter
39102,1/22/2007,25,18,T,T,4,2007-01-22,22,1,2007,Winter
39103,1/23/2007,24,17,T,T,3,2007-01-23,23,1,2007,Winter
39104,1/24/2007,26,18,T,T,3,2007-01-24,24,1,2007,Winter
39105,1/25/2007,24,10,T,T,3,2007-01-25,25,1,2007,Winter
39106,1/26/2007,41,20,0,0,3,2007-01-26,26,1,2007,Winter
39107,1/27/2007,26,3,T,T,2,2007-01-27,27,1,2007,Winter
39108,1/28/2007,10,-3,T,0.1,2,2007-01-28,28,1,2007,Winter
39109,1/29/2007,21,8,T,T,2,2007-01-29,29,1,2007,Winter
39110,1/30/2007,12,1,T,T,2,2007-01-30,30,1,2007,Winter
39111,1/31/2007,20,2,0.01,0.2,2,2007-01-31,31,1,2007,Winter
39112,2/1/2007,13,-2,T,0.2,2,2007-02-01,1,2,2007,Winter
39113,2/2/2007,9,-8,T,T,2,2007-02-02,2,2,2007,Winter
39114,2/3/2007,0,-13,T,T,2,2007-02-03,3,2,2007,Winter
39115,2/4/2007,-5,-13,T,T,2,2007-02-04,4,2,2007,Winter
39116,2/5/2007,2,-17,0,0,2,2007-02-05,5,2,2007,Winter
39117,2/6/2007,7,-6,0.11,1.9,2,2007-02-06,6,2,2007,Winter
39118,2/7/2007,5,-9,0,0,4,2007-02-07,7,2,2007,Winter
39119,2/8/2007,7,-13,0,0,4,2007-02-08,8,2,2007,Winter
39120,2/9/2007,10,-7,0,0,4,2007-02-09,9,2,2007,Winter
39121,2/10/2007,9,-9,0,0,4,2007-02-10,10,2,2007,Winter
39122,2/11/2007,25,10,T,T,4,2007-02-11,11,2,2007,Winter
39123,2/12/2007,23,6,0,0,4,2007-02-12,12,2,2007,Winter
39124,2/13/2007,19,7,0,0,4,2007-02-13,13,2,2007,Winter
39125,2/14/2007,11,-1,0,0,4,2007-02-14,14,2,2007,Winter
39126,2/15/2007,12,-5,0,0,4,2007-02-15,15,2,2007,Winter
39127,2/16/2007,20,0,T,0.1,4,2007-02-16,16,2,2007,Winter
39128,2/17/2007,25,13,T,T,3,2007-02-17,17,2,2007,Winter
39129,2/18/2007,22,13,T,T,3,2007-02-18,18,2,2007,Winter
39130,2/19/2007,43,20,0,0,3,2007-02-19,19,2,2007,Winter
39131,2/20/2007,41,19,0,0,1,2007-02-20,20,2,2007,Winter
39132,2/21/2007,47,27,0,0,T,2007-02-21,21,2,2007,Winter
39133,2/22/2007,33,18,0,0,T,2007-02-22,22,2,2007,Winter
39134,2/23/2007,33,26,0.03,0.1,0,2007-02-23,23,2,2007,Winter
39135,2/24/2007,30,24,0.64,4.8,T,2007-02-24,24,2,2007,Winter
