Unnamed: 0,Date,MaxTemp,MinTemp,Precip,Snow,SnowDepth,datetime,day,month,year,season
359,1871-12-26,M,M,0,M,M,1871-12-26,26,12,1871,Winter
360,1871-12-27,M,M,0,M,M,1871-12-27,27,12,1871,Winter
361,1871-12-28,M,M,0,M,M,1871-12-28,28,12,1871,Winter
362,1871-12-29,M,M,0,M,M,1871-12-29,29,12,1871,Winter
363,1871-12-30,M,M,0.02,M,M,1871-12-30,30,12,1871,Winter
364,1871-12-31,M,M,0,M,M,1871-12-31,31,12,1871,Winter
365,1872-01-01,M,M,0,M,M,1872-01-01,1,1,1872,Winter
366,1872-01-02,M,M,0.02,M,M,1872-01-02,2,1,1872,Winter
367,1872-01-03,M,M,0,M,M,1872-01-03,3,1,1872,Winter
368,1872-01-04,M,M,0,M,M,1872-01-04,4,1,1872,Winter
369,1872-01-05,M,M,0,M,M,1872-01-05,5,1,1872,Winter
370,1872-01-06,M,M,0,M,M,1872-01-06,6,1,1872,Winter
371,1872-01-07,M,M,0,M,M,1872-01-07,7,1,1872,Winter
372,1872-01-08,M,M,0,M,M,1872-01-08,8,1,1872,Winter
373,1872-01-09,M,M,0,M,M,1872-01-09,9,1,1872,Winter
374,1872-01-10,M,M,0,M,M,1872-01-10,10,1,1872,Winter
375,1872-01-11,M,M,0,M,M,1872-01-11,11,1,1872,Winter
376,1872-01-12,M,M,0,M,M,1872-01-12,12,1,1872,Winter
377,1872-01-13,M,M,0,M,M,1872-01-13,13,1,1872,Winter
378,1872-01-14,M,M,0,M,M,1872-01-14,14,1,1872,Winter
379,1872-01-15,M,M,0,M,M,1872-01-15,15,1,1872,Winter
380,1872-01-16,M,M,0,M,M,1872-01-16,16,1,1872,Winter
381,1872-01-17,M,M,0,M,M,1872-01-17,17,1,1872,Winter
382,1872-01-18,M,M,0,M,M,1872-01-18,18,1,1872,Winter
383,1872-01-19,M,M,0.16,M,M,1872-01-19,19,1,1872,Winter
384,1872-01-20,M,M,0,M,M,1872-01-20,20,1,1872,Winter
385,1872-01-21,M,M,0,M,M,1872-01-21,21,1,1872,Winter
386,1872-01-22,M,M,0,M,M,1872-01-22,22,1,1872,Winter
387,1872-01-23,M,M,0.02,M,M,1872-01-23,23,1,1872,Winter
388,1872-01-24,M,M,0,M,M,1872-01-24,24,1,1872,Winter
389,1872-01-25,M,M,0,M,M,1872-01-25,25,1,1872,Winter
390,1872-01-26,M,M,0.03,M,M,1872-01-26,26,1,1872,Winter
391,1872-01-27,M,M,0.02,M,M,1872-01-27,27,1,1872,Winter
392,1872-01-28,M,M,0.03,M,M,1872-01-28,28,1,1872,Winter
393,1872-01-29,M,M,0,M,M,1872-01-29,29,1,1872,Winter
394,1872-01-30,M,M,0,M,M,1872-01-30,30,1,1872,Winter
395,1872-01-31,M,M,0,M,M,1872-01-31,31,1,1872,Winter
396,1872-02-01,M,M,0,M,M,1872-02-01,1,2,1872,Winter
397,1872-02-02,M,M,0,M,M,1872-02-02,2,2,1872,Winter
398,1872-02-03,M,M,0,M,M,1872-02-03,3,2,1872,Winter
399,1872-02-04,M,M,0.01,M,M,1872-02-04,4,2,1872,Winter
400,1872-02-05,M,M,0,M,M,1872-02-05,5,2,1872,Winter
401,1872-02-06,M,M,0,M,M,1872-02-06,6,2,1872,Winter
402,1872-02-07,M,M,0,M,M,1872-02-07,7,2,1872,Winter
403,1872-02-08,M,M,0,M,M,1872-02-08,8,2,1872,Winter
404,1872-02-09,M,M,0,M,M,1872-02-09,9,2,1872,Winter
405,1872-02-10,M,M,0,M,M,1872-02-10,10,2,1872,Winter
406,1872-02-11,M,M,0,M,M,1872-02-11,11,2,1872,Winter
407,1872-02-12,M,M,0.3,M,M,1872-02-12,12,2,1872,Winter
408,1872-02-13,M,M,0,M,M,1872-02-13,13,2,1872,Winter
409,1872-02-14,M,M,0,M,M,1872-02-14,14,2,1872,Winter
410,1872-02-15,M,M,0,M,M,1872-02-15,15,2,1872,Winter
411,1872-02-16,M,M,0,M,M,1872-02-16,16,2,1872,Winter
412,1872-02-17,M,M,0,M,M,1872-02-17,17,2,1872,Winter
413,1872-02-18,M,M,0,M,M,1872-02-18,18,2,1872,Winter
414,1872-02-19,M,M,0.02,M,M,1872-02-19,19,2,1872,Winter
415,1872-02-20,M,M,0.02,M,M,1872-02-20,20,2,1872,Winter
416,1872-02-21,M,M,0,M,M,1872-02-21,21,2,1872,Winter
417,1872-02-22,M,M,0,M,M,1872-02-22,22,2,1872,Winter
418,1872-02-23,M,M,0,M,M,1872-02-23,23,2,1872,Winter
419,1872-02-24,M,M,0.16,M,M,1872-02-24,24,2,1872,Winter
420,1872-02-25,M,M,0,M,M,1872-02-25,25,2,1872,Winter
421,1872-02-26,M,M,0,M,M,1872-02-26,26,2,1872,Winter
422,1872-02-27,M,M,0,M,M,1872-02-27,27,2,1872,Winter
423,1872-02-28,M,M,0,M,M,1872-02-28,28,2,1872,Winter
424,1872-02-29,M,M,0.02,M,M,1872-02-29,29,2,1872,Winter
700,1872-12-01,34,19,0.03,M,M,1872-12-01,1,12,1872,Winter
701,1872-12-02,33,17,0,M,M,1872-12-02,2,12,1872,Winter
702,1872-12-03,22,13,0,M,M,1872-12-03,3,12,1872,Winter
703,1872-12-04,35,13,0,M,M,1872-12-04,4,12,1872,Winter
704,1872-12-05,32,15,0,M,M,1872-12-05,5,12,1872,Winter
705,1872-12-06,25,13,0,M,M,1872-12-06,6,12,1872,Winter
706,1872-12-07,39,22,0,M,M,1872-12-07,7,12,1872,Winter
707,1872-12-08,28,-6,0,M,M,1872-12-08,8,12,1872,Winter
708,1872-12-09,6,-14,0,M,M,1872-12-09,9,12,1872,Winter
709,1872-12-10,16,1,0,M,M,1872-12-10,10,12,1872,Winter
710,1872-12-11,21,9,0,M,M,1872-12-11,11,12,1872,Winter
711,1872-12-12,26,15,0,M,M,1872-12-12,12,12,1872,Winter
712,1872-12-13,24,12,0,M,M,1872-12-13,13,12,1872,Winter
713,1872-12-14,16,-6,0,M,M,1872-12-14,14,12,1872,Winter
714,1872-12-15,8,-13,0,M,M,1872-12-15,15,12,1872,Winter
715,1872-12-16,7,-6,0,M,M,1872-12-16,16,12,1872,Winter
716,1872-12-17,11,0,0,M,M,1872-12-17,17,12,1872,Winter
717,1872-12-18,1,-15,0.02,M,M,1872-12-18,18,12,1872,Winter
718,1872-12-19,0,-19,0,M,M,1872-12-19,19,12,1872,Winter
719,1872-12-20,-3,-13,0,M,M,1872-12-20,20,12,1872,Winter
720,1872-12-21,-10,-23,0,M,M,1872-12-21,21,12,1872,Winter
721,1872-12-22,4,-10,0,M,M,1872-12-22,22,12,1872,Winter
722,1872-12-23,-6,-27,0,M,M,1872-12-23,23,12,1872,Winter
723,1872-12-24,-9,-31,0,M,M,1872-12-24,24,12,1872,Winter
724,1872-12-25,4,-9,0.5,M,M,1872-12-25,25,12,1872,Winter
725,1872-12-26,4,-9,0,M,M,1872-12-26,26,12,1872,Winter
726,1872-12-27,-2,-24,0,M,M,1872-12-27,27,12,1872,Winter
727,1872-12-28,10,-18,0.02,M,M,1872-12-28,28,12,1872,Winter
728,1872-12-29,17,7,0.01,M,M,1872-12-29,29,12,1872,Winter
729,1872-12-30,24,14,0.05,M,M,1872-12-30,30,12,1872,Winter
730,1872-12-31,20,5,0,M,M,1872-12-31,31,12,1872,Winter
731,1873-01-01,19,0,0,M,M,1873-01-01,1,1,1873,Winter
732,1873-01-02,24,14,0.1,M,M,1873-01-02,2,1,1873,Winter
733,1873-01-03,19,3,0.28,M,M,1873-01-03,3,1,1873,Winter
734,1873-01-04,20,-4,0,M,M,1873-01-04,4,1,1873,Winter
735,1873-01-05,7,-11,0,M,M,1873-01-05,5,1,1873,Winter
736,1873-01-06,21,-14,0.01,M,M,1873-01-06,6,1,1873,Winter
737,1873-01-07,30,3,0.16,M,M,1873-01-07,7,1,1873,Winter
738,1873-01-08,5,-9,0.25,M,M,1873-01-08,8,1,1873,Winter
739,1873-01-09,-5,-15,0,M,M,1873-01-09,9,1,1873,Winter
740,1873-01-10,5,-16,0,M,M,1873-01-10,10,1,1873,Winter
741,1873-01-11,14,2,0,M,M,1873-01-11,11,1,1873,Winter
742,1873-01-12,26,12,0,M,M,1873-01-12,12,1,1873,Winter
743,1873-01-13,21,15,0,M,M,1873-01-13,13,1,1873,Winter
744,1873-01-14,28,15,0,M,M,1873-01-14,14,1,1873,Winter
745,1873-01-15,29,2,0.3,M,M,1873-01-15,15,1,1873,Winter
746,1873-01-16,9,-17,0,M,M,1873-01-16,16,1,1873,Winter
747,1873-01-17,-2,-25,0,M,M,1873-01-17,17,1,1873,Winter
748,1873-01-18,4,-26,0,M,M,1873-01-18,18,1,1873,Winter
749,1873-01-19,23,0,0,M,M,1873-01-19,19,1,1873,Winter
750,1873-01-20,27,16,0.08,M,M,1873-01-20,20,1,1873,Winter
751,1873-01-21,26,20,T,M,M,1873-01-21,21,1,1873,Winter
752,1873-01-22,24,3,0.02,M,M,1873-01-22,22,1,1873,Winter
753,1873-01-23,10,-1,0,M,M,1873-01-23,23,1,1873,Winter
754,1873-01-24,10,-9,0,M,M,1873-01-24,24,1,1873,Winter
755,1873-01-25,10,-14,0,M,M,1873-01-25,25,1,1873,Winter
756,1873-01-26,11,0,0,M,M,1873-01-26,26,1,1873,Winter
757,1873-01-27,5,-10,0,M,M,1873-01-27,27,1,1873,Winter
758,1873-01-28,-6,-29,0,M,M,1873-01-28,28,1,1873,Winter
759,1873-01-29,7,-21,0.02,M,M,1873-01-29,29,1,1873,Winter
760,1873-01-30,25,7,0.06,M,M,1873-01-30,30,1,1873,Winter
761,1873-01-31,7,-7,0.03,M,M,1873-01-31,31,1,1873,Winter
762,1873-02-01,-3,-14,0,M,M,1873-02-01,1,2,1873,Winter
763,1873-02-02,12,-20,0,M,M,1873-02-02,2,2,1873,Winter
764,1873-02-03,22,2,0,M,M,1873-02-03,3,2,1873,Winter
765,1873-02-04,22,4,0,M,M,1873-02-04,4,2,1873,Winter
766,1873-02-05,29,-1,0,M,M,1873-02-05,5,2,1873,Winter
767,1873-02-06,38,8,0,M,M,1873-02-06,6,2,1873,Winter
768,1873-02-07,34,14,T,M,M,1873-02-07,7,2,1873,Winter
769,1873-02-08,14,0,0,M,M,1873-02-08,8,2,1873,Winter
770,1873-02-09,24,0,0,M,M,1873-02-09,9,2,1873,Winter
771,1873-02-10,35,17,0,M,M,1873-02-10,10,2,1873,Winter
772,1873-02-11,19,5,0,M,M,1873-02-11,11,2,1873,Winter
773,1873-02-12,19,-2,0,M,M,1873-02-12,12,2,1873,Winter
774,1873-02-13,22,8,0,M,M,1873-02-13,13,2,1873,Winter
775,1873-02-14,26,3,0,M,M,1873-02-14,14,2,1873,Winter
776,1873-02-15,37,18,0.14,M,M,1873-02-15,15,2,1873,Winter
777,1873-02-16,39,20,0,M,M,1873-02-16,16,2,1873,Winter
778,1873-02-17,41,27,0,M,M,1873-02-17,17,2,1873,Winter
779,1873-02-18,39,8,0.5,M,M,1873-02-18,18,2,1873,Winter
780,1873-02-19,26,1,0,M,M,1873-02-19,19,2,1873,Winter
781,1873-02-20,23,-10,0.05,M,M,1873-02-20,20,2,1873,Winter
782,1873-02-21,0,-21,0,M,M,1873-02-21,21,2,1873,Winter
783,1873-02-22,6,-22,0,M,M,1873-02-22,22,2,1873,Winter
